Restaurant_ID,Restaurant_Name,Cuisine,City,Area,Opening_Year,Average_Rating,Price_Range,Pure_Veg,Online_Since,Partner_Type,Commission_Tier,Popularity
20,Restaurant_20,South Indian,Ahmedabad,Area_20,2015,3.5,Medium,False,2021-02-12,Regular,Tier 2,1.187810262253085
21,Restaurant_21,Bakery,Jaipur,Area_17,2021,3.9,Low,False,2022-02-09,Bolt Partner,Tier 1,1.60509900004366
22,Restaurant_22,Chinese,Chennai,Area_17,2018,3.2,High,False,2021-10-01,Gold,Tier 1,1.0780105556949393
23,Restaurant_23,Italian,Noida,Area_16,2012,3.6,Low,False,2022-07-11,Regular,Tier 2,1.1885781442844963
24,Restaurant_24,American,Bangalore,Area_20,2022,4.4,High,True,2021-07-03,Bolt Partner,Tier 1,1.2562594423687363
25,Restaurant_25,American,Hyderabad,Area_15,2019,4.5,Medium,True,2021-06-30,Regular,Tier 2,1.355902580881852
26,Restaurant_26,Street Food,Kolkata,Area_19,2018,3.6,Low,True,2021-10-03,Toing Partner,Tier 3,2.157538536616732
27,Restaurant_27,Japanese,Ahmedabad,Area_7,2015,4.6,Low,False,2020-03-02,Toing Partner,Tier 3,1.1178061067938079
28,Restaurant_28,Fast Food,Hyderabad,Area_17,2012,3.6,Medium,True,2020-02-11,Gold,Tier 1,1.4347843763191193
29,Restaurant_29,Healthy Food,Noida,Area_3,2018,4.7,Medium,False,2022-01-05,Bolt Partner,Tier 1,1.5663567176151074
30,Restaurant_30,Continental,Lucknow,Area_19,2010,4.8,Low,False,2021-06-27,Regular,Tier 2,1.0240669700089868
31,Restaurant_31,Bakery,Noida,Area_8,2020,3.1,High,False,2021-12-17,Regular,Tier 2,1.5962649760242102
32,Restaurant_32,Italian,Bangalore,Area_9,2018,4.8,Medium,True,2020-05-22,Regular,Tier 2,1.097989330677541
33,Restaurant_33,Mexican,Gurgaon,Area_18,2022,3.7,Medium,False,2022-03-26,Regular,Tier 2,1.0342039138955947
34,Restaurant_34,Desserts,Kolkata,Area_5,2018,3.5,High,False,2020-06-17,Bolt Partner,Tier 1,4.423113663127404
35,Restaurant_35,Healthy Food,Pune,Area_14,2020,3.5,Low,False,2022-02-02,Regular,Tier 2,5.394150745597778
36,Restaurant_36,Desserts,Lucknow,Area_13,2016,3.4,Low,False,2022-07-02,Bolt Partner,Tier 1,2.2845425021134633
37,Restaurant_37,Thai,Hyderabad,Area_6,2020,4.0,Medium,True,2021-02-18,Regular,Tier 2,1.1991871232731455
38,Restaurant_38,Fast Food,Pune,Area_18,2011,3.5,Medium,False,2022-07-11,Regular,Tier 2,1.0527319659588514
39,Restaurant_39,Japanese,Lucknow,Area_10,2012,3.9,Low,False,2020-06-23,Gold,Tier 1,1.7795764410985562
40,Restaurant_40,Street Food,Kolkata,Area_18,2012,3.9,High,True,2022-05-26,Toing Partner,Tier 3,1.3364881916681854
41,Restaurant_41,Desserts,Kolkata,Area_3,2012,3.1,High,False,2022-06-01,Toing Partner,Tier 3,1.0672402563948746
42,Restaurant_42,Mughlai,Gurgaon,Area_19,2022,4.3,High,True,2021-06-17,Gold,Tier 1,1.4074416364573665
43,Restaurant_43,Healthy Food,Kolkata,Area_2,2011,3.8,Low,False,2022-06-26,Toing Partner,Tier 3,1.017650827456628
44,Restaurant_44,Japanese,Chennai,Area_13,2023,4.8,Medium,False,2022-06-07,Regular,Tier 2,3.3208190147553927
45,Restaurant_45,South Indian,Kolkata,Area_18,2015,3.0,Low,False,2020-05-07,Toing Partner,Tier 3,1.1615192987058522
46,Restaurant_46,Street Food,Noida,Area_7,2011,4.2,Low,True,2021-09-11,Gold,Tier 1,1.7213827620714943
47,Restaurant_47,Street Food,Chennai,Area_7,2019,3.6,Low,True,2021-04-21,Bolt Partner,Tier 1,1.20535398926787
48,Restaurant_48,Italian,Chennai,Area_3,2023,4.7,Low,False,2021-11-24,Toing Partner,Tier 3,1.4434779547963743
49,Restaurant_49,South Indian,Delhi,Area_15,2014,4.4,Low,False,2021-04-14,Bolt Partner,Tier 1,1.4852927620579766
50,Restaurant_50,Thai,Bangalore,Area_18,2012,3.6,Medium,False,2022-07-16,Gold,Tier 1,1.1075986569685643
51,Restaurant_51,American,Bangalore,Area_10,2016,3.7,High,False,2022-08-17,Gold,Tier 1,5.733943800807773
52,Restaurant_52,Continental,Hyderabad,Area_2,2020,4.2,Medium,False,2021-12-12,Bolt Partner,Tier 1,2.1088076407087213
53,Restaurant_53,South Indian,Bangalore,Area_17,2011,3.4,Low,False,2021-08-21,Bolt Partner,Tier 1,4.065542578123296
54,Restaurant_54,Thai,Kolkata,Area_16,2013,4.3,Low,False,2021-07-27,Bolt Partner,Tier 1,3.0835329421860562
55,Restaurant_55,Mexican,Noida,Area_15,2016,3.6,High,True,2022-05-26,Toing Partner,Tier 3,1.577004570484954
56,Restaurant_56,American,Lucknow,Area_3,2021,4.0,High,False,2022-05-05,Toing Partner,Tier 3,3.5776912481955003
57,Restaurant_57,Italian,Pune,Area_12,2011,4.7,High,False,2021-03-03,Toing Partner,Tier 3,1.0474176243430569
58,Restaurant_58,American,Delhi,Area_20,2014,4.9,Low,True,2020-08-21,Bolt Partner,Tier 1,1.115237456061295
59,Restaurant_59,Chinese,Lucknow,Area_10,2015,4.5,Low,False,2022-07-23,Toing Partner,Tier 3,1.023410812743319
60,Restaurant_60,Mexican,Bangalore,Area_13,2012,4.9,Low,False,2020-04-03,Regular,Tier 2,1.2174591747767853
61,Restaurant_61,South Indian,Delhi,Area_2,2016,5.0,High,False,2021-12-17,Gold,Tier 1,1.2789828913156454
62,Restaurant_62,Desserts,Gurgaon,Area_9,2015,4.0,Low,False,2021-06-17,Bolt Partner,Tier 1,1.1714944267644936
63,Restaurant_63,South Indian,Kolkata,Area_9,2017,3.2,Medium,False,2020-07-03,Regular,Tier 2,2.4164002497059993
64,Restaurant_64,Bakery,Ahmedabad,Area_1,2020,3.2,High,False,2022-05-21,Regular,Tier 2,1.246841432917052
65,Restaurant_65,American,Noida,Area_8,2010,3.1,Medium,False,2022-01-01,Bolt Partner,Tier 1,1.179276859947399
66,Restaurant_66,American,Jaipur,Area_12,2012,4.5,Low,False,2021-01-19,Gold,Tier 1,1.4787594718579702
67,Restaurant_67,Mughlai,Pune,Area_16,2011,4.3,Medium,False,2022-06-16,Regular,Tier 2,1.078907628211568
68,Restaurant_68,Healthy Food,Ahmedabad,Area_5,2022,4.5,High,True,2021-12-10,Regular,Tier 2,2.2484515917972785
69,Restaurant_69,American,Lucknow,Area_5,2022,3.6,Medium,True,2020-03-15,Bolt Partner,Tier 1,1.0394980312821323
70,Restaurant_70,Italian,Lucknow,Area_14,2011,4.8,Low,False,2020-09-24,Regular,Tier 2,8.732687507081005
71,Restaurant_71,Fast Food,Delhi,Area_13,2019,3.5,High,True,2021-04-13,Gold,Tier 1,2.095394598451375
72,Restaurant_72,Continental,Pune,Area_19,2018,3.9,Medium,False,2021-06-30,Gold,Tier 1,1.1171376230627053
73,Restaurant_73,Continental,Bangalore,Area_6,2019,3.4,Low,False,2020-08-16,Bolt Partner,Tier 1,1.0027725466058461
74,Restaurant_74,Chinese,Lucknow,Area_4,2016,3.9,High,False,2021-11-27,Bolt Partner,Tier 1,2.327857667809593
75,Restaurant_75,Mexican,Hyderabad,Area_5,2018,3.8,Low,False,2022-07-20,Toing Partner,Tier 3,1.8469727615247973
76,Restaurant_76,Street Food,Ahmedabad,Area_3,2013,3.4,Low,True,2022-05-11,Toing Partner,Tier 3,1.9209722813371433
77,Restaurant_77,Bakery,Hyderabad,Area_7,2018,4.0,High,False,2021-09-01,Bolt Partner,Tier 1,2.0909264871171387
78,Restaurant_78,North Indian,Noida,Area_16,2013,3.3,High,False,2020-10-12,Regular,Tier 2,1.039213973574792
79,Restaurant_79,South Indian,Noida,Area_19,2013,4.3,Low,False,2020-01-25,Regular,Tier 2,1.248504376587497
80,Restaurant_80,Healthy Food,Noida,Area_1,2016,3.0,Medium,False,2021-08-05,Regular,Tier 2,1.0635103124309664
81,Restaurant_81,Desserts,Noida,Area_9,2011,3.3,Low,False,2022-06-08,Bolt Partner,Tier 1,2.7027365204419618
82,Restaurant_82,South Indian,Mumbai,Area_12,2012,3.4,Low,False,2020-02-29,Toing Partner,Tier 3,1.6293001973561674
83,Restaurant_83,Chinese,Pune,Area_13,2017,3.3,Medium,False,2021-08-25,Bolt Partner,Tier 1,1.222514007801587
84,Restaurant_84,Continental,Delhi,Area_16,2018,4.2,Low,False,2022-05-27,Regular,Tier 2,1.0333790180919031
85,Restaurant_85,Mughlai,Pune,Area_8,2017,4.8,Medium,False,2021-03-30,Bolt Partner,Tier 1,1.204716386337849
86,Restaurant_86,Italian,Mumbai,Area_20,2016,4.2,High,False,2022-03-07,Toing Partner,Tier 3,1.2173265558822866
87,Restaurant_87,South Indian,Ahmedabad,Area_9,2010,4.9,Low,False,2021-08-31,Toing Partner,Tier 3,1.9230988935335906
88,Restaurant_88,Desserts,Delhi,Area_13,2012,3.6,High,False,2020-04-07,Bolt Partner,Tier 1,1.661041274422515
89,Restaurant_89,Mughlai,Jaipur,Area_19,2015,3.6,High,True,2021-08-13,Gold,Tier 1,2.977624860964304
90,Restaurant_90,Street Food,Delhi,Area_14,2010,4.1,Medium,False,2020-01-04,Bolt Partner,Tier 1,1.3764848876100815
91,Restaurant_91,Healthy Food,Bangalore,Area_15,2015,4.9,Medium,False,2022-01-25,Regular,Tier 2,1.065757908048413
92,Restaurant_92,Fast Food,Noida,Area_11,2014,4.5,Medium,False,2022-07-22,Toing Partner,Tier 3,1.867430033804925
93,Restaurant_93,American,Bangalore,Area_14,2016,3.1,High,False,2020-01-13,Bolt Partner,Tier 1,2.0445881519814546
94,Restaurant_94,Mughlai,Bangalore,Area_14,2019,5.0,Medium,True,2021-10-17,Toing Partner,Tier 3,1.509749506669703
95,Restaurant_95,Street Food,Bangalore,Area_6,2020,4.4,High,True,2022-07-14,Regular,Tier 2,2.0895421674858854
96,Restaurant_96,American,Noida,Area_1,2015,4.7,High,False,2022-01-09,Bolt Partner,Tier 1,1.4055200346889047
97,Restaurant_97,Mexican,Hyderabad,Area_17,2021,3.0,Medium,True,2020-09-23,Gold,Tier 1,1.4475021552185448
98,Restaurant_98,Continental,Noida,Area_3,2013,4.2,High,False,2020-10-05,Toing Partner,Tier 3,1.321684549645418
99,Restaurant_99,Desserts,Gurgaon,Area_18,2010,4.4,Medium,False,2020-12-26,Toing Partner,Tier 3,1.0129571122388845
100,Restaurant_100,Desserts,Ahmedabad,Area_11,2021,4.7,Low,False,2020-11-07,Regular,Tier 2,1.0587444422248369
101,Restaurant_101,Italian,Hyderabad,Area_18,2021,3.1,High,False,2021-11-15,Regular,Tier 2,1.0160949917944735
102,Restaurant_102,Italian,Pune,Area_8,2018,3.0,High,False,2021-11-26,Gold,Tier 1,1.6584190606386235
103,Restaurant_103,Italian,Chennai,Area_4,2010,4.5,Medium,False,2020-04-14,Bolt Partner,Tier 1,1.2076766071963452
104,Restaurant_104,Japanese,Noida,Area_15,2015,3.4,Medium,False,2020-11-21,Bolt Partner,Tier 1,1.4264924351417425
105,Restaurant_105,Chinese,Kolkata,Area_18,2012,4.4,High,False,2021-04-27,Bolt Partner,Tier 1,3.289161815268585
106,Restaurant_106,Fast Food,Gurgaon,Area_18,2014,3.6,Medium,True,2021-11-28,Gold,Tier 1,1.1541560814444807
107,Restaurant_107,Mexican,Chennai,Area_7,2012,4.4,Low,False,2021-06-15,Bolt Partner,Tier 1,1.3023117929656902
108,Restaurant_108,North Indian,Pune,Area_7,2013,4.3,High,False,2022-04-22,Toing Partner,Tier 3,2.0225813138580393
109,Restaurant_109,Healthy Food,Chennai,Area_10,2022,3.4,High,False,2022-06-29,Bolt Partner,Tier 1,1.1387174423123487
110,Restaurant_110,Street Food,Lucknow,Area_8,2015,4.4,Low,False,2021-07-17,Regular,Tier 2,1.0408650427264072
111,Restaurant_111,American,Gurgaon,Area_10,2023,3.8,Medium,False,2021-09-07,Bolt Partner,Tier 1,1.186573986573338
112,Restaurant_112,Chinese,Jaipur,Area_9,2012,4.5,Low,False,2021-01-02,Gold,Tier 1,1.0918834919203357
113,Restaurant_113,North Indian,Kolkata,Area_2,2011,4.2,Low,True,2022-06-02,Toing Partner,Tier 3,3.771508458083867
114,Restaurant_114,Fast Food,Kolkata,Area_7,2019,4.6,Low,False,2022-04-14,Bolt Partner,Tier 1,2.28289309576487
115,Restaurant_115,Desserts,Hyderabad,Area_6,2017,3.3,Low,False,2020-02-23,Bolt Partner,Tier 1,1.6516042615141378
116,Restaurant_116,American,Noida,Area_20,2017,3.1,High,False,2022-06-19,Bolt Partner,Tier 1,2.789214082415403
117,Restaurant_117,Bakery,Gurgaon,Area_11,2022,4.6,High,False,2021-06-18,Bolt Partner,Tier 1,2.2568825770658583
118,Restaurant_118,Street Food,Delhi,Area_9,2020,4.1,Low,True,2020-10-27,Toing Partner,Tier 3,1.108766058738682
119,Restaurant_119,Italian,Jaipur,Area_9,2021,3.7,Medium,False,2022-04-18,Gold,Tier 1,3.050808698788443
120,Restaurant_120,South Indian,Lucknow,Area_2,2023,3.1,Medium,False,2020-07-29,Gold,Tier 1,1.47336654788846
121,Restaurant_121,Healthy Food,Jaipur,Area_16,2015,3.0,Medium,False,2021-02-11,Toing Partner,Tier 3,2.278857328555781
122,Restaurant_122,Continental,Delhi,Area_18,2012,5.0,Medium,False,2021-11-24,Gold,Tier 1,3.1022303627282097
123,Restaurant_123,North Indian,Lucknow,Area_13,2010,4.9,High,False,2021-01-02,Regular,Tier 2,1.210901784178883
124,Restaurant_124,North Indian,Delhi,Area_7,2020,3.7,Medium,False,2020-12-22,Toing Partner,Tier 3,1.0600288026455367
125,Restaurant_125,South Indian,Pune,Area_2,2010,4.2,Low,False,2020-10-28,Regular,Tier 2,1.1380808433934144
126,Restaurant_126,American,Gurgaon,Area_17,2020,4.3,Medium,False,2020-12-31,Gold,Tier 1,1.3211847162351593
127,Restaurant_127,Street Food,Mumbai,Area_8,2018,3.2,High,False,2022-02-10,Regular,Tier 2,2.3441312479957905
128,Restaurant_128,North Indian,Jaipur,Area_14,2013,3.3,High,False,2021-08-06,Gold,Tier 1,2.679613280902079
129,Restaurant_129,American,Mumbai,Area_13,2018,3.6,Medium,False,2021-03-12,Toing Partner,Tier 3,1.0034942954564618
130,Restaurant_130,American,Noida,Area_20,2013,3.5,High,False,2021-08-25,Bolt Partner,Tier 1,1.4296620385610046
131,Restaurant_131,North Indian,Kolkata,Area_8,2016,5.0,Medium,True,2020-08-04,Toing Partner,Tier 3,1.3101434833098564
132,Restaurant_132,Mexican,Hyderabad,Area_12,2021,4.9,Medium,True,2020-04-28,Toing Partner,Tier 3,1.1338100298997627
133,Restaurant_133,Chinese,Chennai,Area_17,2019,3.1,Low,True,2021-09-24,Bolt Partner,Tier 1,1.0659220463015064
134,Restaurant_134,Mexican,Lucknow,Area_11,2018,4.7,Medium,False,2021-04-03,Toing Partner,Tier 3,1.2286970388855043
135,Restaurant_135,Continental,Kolkata,Area_20,2018,4.5,High,True,2020-01-14,Regular,Tier 2,4.185225399305966
136,Restaurant_136,Healthy Food,Pune,Area_11,2022,3.2,Low,False,2021-03-21,Toing Partner,Tier 3,1.2155442287980336
137,Restaurant_137,Desserts,Hyderabad,Area_15,2022,4.6,Low,False,2021-02-19,Toing Partner,Tier 3,1.4415607818172016
138,Restaurant_138,Street Food,Noida,Area_8,2012,4.3,Low,False,2020-06-27,Regular,Tier 2,1.8349981777246
139,Restaurant_139,North Indian,Pune,Area_3,2016,4.6,Low,False,2021-04-12,Gold,Tier 1,1.2535596816428591
140,Restaurant_140,Desserts,Noida,Area_12,2020,4.0,Low,False,2020-11-27,Gold,Tier 1,5.953022472466191
141,Restaurant_141,Chinese,Jaipur,Area_16,2012,4.3,Medium,False,2021-08-17,Bolt Partner,Tier 1,5.1603527123847925
142,Restaurant_142,Chinese,Jaipur,Area_13,2010,3.2,Medium,False,2021-02-28,Gold,Tier 1,1.1560750005291676
143,Restaurant_143,Mughlai,Pune,Area_16,2023,4.3,High,True,2021-10-05,Toing Partner,Tier 3,1.4103383487162036
144,Restaurant_144,Healthy Food,Noida,Area_18,2017,3.8,Low,False,2022-02-12,Gold,Tier 1,1.195979159296836
145,Restaurant_145,Continental,Gurgaon,Area_6,2020,4.8,Medium,False,2022-05-09,Toing Partner,Tier 3,1.1824929012451002
146,Restaurant_146,Continental,Hyderabad,Area_13,2011,4.6,Low,True,2022-09-20,Bolt Partner,Tier 1,1.0189699242942245
147,Restaurant_147,Bakery,Noida,Area_13,2021,4.3,Low,False,2021-10-12,Regular,Tier 2,1.6003878970053265
148,Restaurant_148,Healthy Food,Hyderabad,Area_13,2013,4.6,Medium,False,2020-11-30,Toing Partner,Tier 3,1.4180175667251356
149,Restaurant_149,Mughlai,Chennai,Area_19,2015,4.3,High,False,2020-11-16,Gold,Tier 1,1.0267777943299616
150,Restaurant_150,Bakery,Chennai,Area_11,2022,4.9,Low,False,2022-08-14,Gold,Tier 1,1.1774051133335108
151,Restaurant_151,North Indian,Mumbai,Area_16,2011,3.9,High,True,2021-10-22,Bolt Partner,Tier 1,3.301676849227949
152,Restaurant_152,Desserts,Gurgaon,Area_6,2020,3.3,High,False,2022-08-30,Bolt Partner,Tier 1,1.1467481899435852
153,Restaurant_153,Thai,Delhi,Area_5,2021,5.0,Low,True,2021-04-20,Gold,Tier 1,1.0814096596778051
154,Restaurant_154,Mughlai,Bangalore,Area_15,2016,3.6,High,False,2022-05-30,Gold,Tier 1,1.3995294244657641
155,Restaurant_155,Street Food,Gurgaon,Area_3,2012,5.0,High,False,2022-07-02,Gold,Tier 1,8.347970799520725
156,Restaurant_156,Japanese,Gurgaon,Area_5,2010,4.2,High,False,2022-03-08,Bolt Partner,Tier 1,1.1486328473649814
157,Restaurant_157,Fast Food,Gurgaon,Area_13,2015,3.7,Low,True,2022-01-25,Regular,Tier 2,1.746436637926625
158,Restaurant_158,Continental,Bangalore,Area_17,2011,4.3,Medium,False,2021-04-21,Regular,Tier 2,2.048164063541323
159,Restaurant_159,Chinese,Delhi,Area_17,2021,3.1,Medium,False,2020-12-28,Toing Partner,Tier 3,1.1452999710770173
160,Restaurant_160,Street Food,Kolkata,Area_4,2018,3.2,Medium,False,2022-08-02,Toing Partner,Tier 3,1.9181754815985494
161,Restaurant_161,Desserts,Chennai,Area_18,2015,4.6,Medium,False,2020-09-22,Regular,Tier 2,1.2576707507170135
162,Restaurant_162,Street Food,Hyderabad,Area_9,2020,3.9,Medium,False,2020-08-27,Toing Partner,Tier 3,1.6491365928025434
163,Restaurant_163,American,Lucknow,Area_18,2021,3.5,Low,False,2022-08-18,Regular,Tier 2,1.6518880617450906
164,Restaurant_164,American,Hyderabad,Area_11,2023,4.1,Medium,False,2021-08-10,Regular,Tier 2,1.4676942397895216
165,Restaurant_165,Continental,Hyderabad,Area_10,2022,3.7,High,False,2020-07-26,Gold,Tier 1,1.0484517785451106
166,Restaurant_166,American,Kolkata,Area_19,2023,4.6,High,True,2022-09-24,Bolt Partner,Tier 1,2.4640895716054394
167,Restaurant_167,Desserts,Bangalore,Area_13,2020,4.7,Medium,False,2022-06-13,Bolt Partner,Tier 1,1.213374288699696
168,Restaurant_168,North Indian,Pune,Area_13,2012,4.8,Low,False,2020-10-02,Regular,Tier 2,1.1087309281806632
169,Restaurant_169,South Indian,Bangalore,Area_16,2011,3.1,Medium,False,2020-03-03,Toing Partner,Tier 3,1.0210330204036004
170,Restaurant_170,Japanese,Gurgaon,Area_6,2021,3.9,High,True,2022-05-07,Bolt Partner,Tier 1,1.5634410640113479
171,Restaurant_171,American,Bangalore,Area_9,2021,3.1,High,False,2021-11-24,Bolt Partner,Tier 1,1.7610775519557142
172,Restaurant_172,Street Food,Bangalore,Area_11,2014,4.6,Low,True,2020-12-03,Toing Partner,Tier 3,1.0083985453312168
173,Restaurant_173,Street Food,Gurgaon,Area_17,2013,3.9,Low,False,2022-08-24,Bolt Partner,Tier 1,1.4316323435951068
174,Restaurant_174,Thai,Delhi,Area_1,2019,4.4,High,False,2020-10-24,Regular,Tier 2,1.1370214426112637
175,Restaurant_175,North Indian,Delhi,Area_8,2023,4.7,Low,False,2022-09-20,Bolt Partner,Tier 1,1.678771323481166
176,Restaurant_176,Mexican,Lucknow,Area_20,2019,3.9,High,True,2020-11-07,Toing Partner,Tier 3,1.1005412577317055
177,Restaurant_177,Street Food,Mumbai,Area_9,2010,5.0,Medium,False,2020-12-20,Bolt Partner,Tier 1,1.798775694543766
178,Restaurant_178,Thai,Pune,Area_14,2014,4.4,High,False,2020-06-03,Toing Partner,Tier 3,1.2769562934310368
179,Restaurant_179,South Indian,Chennai,Area_16,2020,4.6,Low,False,2021-11-30,Regular,Tier 2,3.9755850072075445
180,Restaurant_180,American,Delhi,Area_15,2013,4.7,Low,True,2022-01-02,Gold,Tier 1,1.0767768779186753
181,Restaurant_181,South Indian,Mumbai,Area_13,2011,4.0,Low,False,2020-03-22,Toing Partner,Tier 3,1.231910500774884
182,Restaurant_182,Continental,Lucknow,Area_9,2012,3.2,High,True,2022-08-16,Gold,Tier 1,1.0620724517913653
183,Restaurant_183,Mexican,Delhi,Area_10,2016,4.1,High,False,2021-01-29,Toing Partner,Tier 3,3.6440481710017463
184,Restaurant_184,Bakery,Chennai,Area_17,2022,3.5,Low,False,2022-03-19,Toing Partner,Tier 3,2.855271267785491
185,Restaurant_185,Bakery,Gurgaon,Area_7,2011,3.4,High,False,2021-09-18,Toing Partner,Tier 3,1.1608629895526903
186,Restaurant_186,Desserts,Ahmedabad,Area_12,2012,4.5,Low,True,2020-05-24,Regular,Tier 2,1.7149456163327401
187,Restaurant_187,Mexican,Hyderabad,Area_12,2011,3.3,Low,False,2020-05-17,Gold,Tier 1,2.3390433858527677
188,Restaurant_188,Japanese,Gurgaon,Area_16,2011,3.6,High,True,2020-08-18,Regular,Tier 2,1.4994017276942857
189,Restaurant_189,Chinese,Chennai,Area_5,2019,4.4,High,False,2022-05-04,Toing Partner,Tier 3,1.4581080002621405
190,Restaurant_190,Italian,Jaipur,Area_15,2019,3.8,Medium,True,2022-01-19,Regular,Tier 2,1.1484790740290087
191,Restaurant_191,Fast Food,Jaipur,Area_18,2014,4.6,Medium,False,2022-08-26,Toing Partner,Tier 3,1.0500765541620378
192,Restaurant_192,Chinese,Jaipur,Area_1,2017,4.3,Medium,False,2021-10-19,Toing Partner,Tier 3,3.1191533805076155
193,Restaurant_193,American,Bangalore,Area_9,2017,3.2,Medium,False,2021-12-14,Gold,Tier 1,3.168908522163143
194,Restaurant_194,Healthy Food,Chennai,Area_16,2012,3.6,Medium,True,2022-07-14,Bolt Partner,Tier 1,1.6509237169828477
195,Restaurant_195,Thai,Jaipur,Area_18,2018,4.0,Medium,False,2022-08-15,Regular,Tier 2,1.2300111752420095
196,Restaurant_196,North Indian,Pune,Area_14,2013,3.7,High,True,2021-11-19,Toing Partner,Tier 3,1.2395938775989432
197,Restaurant_197,Continental,Noida,Area_1,2011,4.6,High,False,2021-05-22,Bolt Partner,Tier 1,1.910247309067143
198,Restaurant_198,Healthy Food,Kolkata,Area_2,2018,4.3,Low,False,2021-07-23,Regular,Tier 2,3.117553858337776
199,Restaurant_199,Fast Food,Jaipur,Area_20,2011,3.4,Medium,False,2021-08-29,Regular,Tier 2,2.975958835441625
200,Restaurant_200,Japanese,Hyderabad,Area_13,2013,3.1,Low,False,2021-12-19,Bolt Partner,Tier 1,2.131404380374087
201,Restaurant_201,North Indian,Hyderabad,Area_8,2019,3.4,Low,True,2020-05-06,Bolt Partner,Tier 1,1.6713895507718932
202,Restaurant_202,Healthy Food,Hyderabad,Area_13,2023,4.1,Low,False,2020-03-04,Regular,Tier 2,1.044925784312441
203,Restaurant_203,North Indian,Gurgaon,Area_19,2021,4.3,Medium,False,2022-04-20,Toing Partner,Tier 3,1.0921487733142055
204,Restaurant_204,Japanese,Ahmedabad,Area_4,2010,4.1,High,True,2022-01-24,Bolt Partner,Tier 1,3.1396623116888613
205,Restaurant_205,Italian,Gurgaon,Area_19,2011,4.0,High,False,2021-04-07,Bolt Partner,Tier 1,1.5940006266250688
206,Restaurant_206,Healthy Food,Chennai,Area_7,2010,4.4,Medium,True,2021-12-28,Bolt Partner,Tier 1,1.0046304905465586
207,Restaurant_207,Japanese,Mumbai,Area_12,2012,3.5,Low,False,2021-05-13,Gold,Tier 1,1.0549553573429524
208,Restaurant_208,North Indian,Hyderabad,Area_8,2014,3.8,High,False,2020-12-29,Bolt Partner,Tier 1,1.7238862566521937
209,Restaurant_209,Desserts,Chennai,Area_20,2012,3.9,Medium,True,2022-05-27,Regular,Tier 2,1.0025404399887647
210,Restaurant_210,Bakery,Lucknow,Area_6,2014,4.5,Low,False,2021-02-17,Bolt Partner,Tier 1,1.091614625573156
211,Restaurant_211,Mexican,Mumbai,Area_4,2011,4.5,Medium,True,2022-01-03,Toing Partner,Tier 3,1.4886191169112055
212,Restaurant_212,Thai,Gurgaon,Area_7,2023,3.1,Low,True,2021-05-18,Bolt Partner,Tier 1,1.801568444106854
