Menu_ID,Restaurant_ID,Item_Name,Category,Cuisine,Veg_NonVeg,Calories,Cost_Price,Selling_Price
90,12,Item_90,Snacks,Italian,Non-Veg,296,406.07,789.39
91,12,Item_91,Appetizer,Italian,Veg,839,209.35,501.49
92,12,Item_92,Appetizer,Italian,Veg,338,99.94,275.18
93,12,Item_93,Appetizer,Italian,Veg,415,266.92,575.24
94,12,Item_94,Snacks,Italian,Non-Veg,467,474.22,829.54
95,12,Item_95,Beverage,Italian,Non-Veg,748,334.67,558.42
96,12,Item_96,Beverage,Italian,Veg,147,340.75,738.27
97,12,Item_97,Dessert,Italian,Non-Veg,816,418.73,1097.76
98,12,Item_98,Dessert,Italian,Veg,241,359.07,608.08
99,13,Item_99,Appetizer,Healthy Food,Veg,587,132.81,207.1
100,13,Item_100,Beverage,Healthy Food,Non-Veg,164,358.07,628.88
101,13,Item_101,Beverage,Healthy Food,Non-Veg,545,78.16,182.42
102,13,Item_102,Beverage,Healthy Food,Non-Veg,292,443.84,1094.77
103,13,Item_103,Main Course,Healthy Food,Non-Veg,871,243.37,648.84
104,13,Item_104,Appetizer,Healthy Food,Veg,626,338.13,756.34
105,13,Item_105,Dessert,Healthy Food,Non-Veg,539,354.2,931.66
106,13,Item_106,Appetizer,Healthy Food,Veg,935,301.68,714.96
107,13,Item_107,Main Course,Healthy Food,Non-Veg,335,426.62,1225.95
108,14,Item_108,Snacks,South Indian,Veg,605,127.03,225.03
109,14,Item_109,Beverage,South Indian,Non-Veg,607,105.78,206.47
110,14,Item_110,Snacks,South Indian,Non-Veg,335,134.5,217.33
111,14,Item_111,Snacks,South Indian,Veg,409,249.1,408.55
112,14,Item_112,Beverage,South Indian,Veg,358,64.21,177.91
113,15,Item_113,Main Course,Mexican,Non-Veg,686,133.7,302.19
114,15,Item_114,Main Course,Mexican,Veg,135,296.65,767.74
115,15,Item_115,Snacks,Mexican,Non-Veg,650,466.24,1128.43
116,15,Item_116,Appetizer,Mexican,Non-Veg,140,279.71,795.16
117,15,Item_117,Main Course,Mexican,Veg,299,302.3,880.2
118,15,Item_118,Dessert,Mexican,Veg,320,452.38,777.29
119,15,Item_119,Dessert,Mexican,Veg,219,376.58,1129.48
120,15,Item_120,Appetizer,Mexican,Non-Veg,153,370.13,1067.71
121,16,Item_121,Dessert,Bakery,Veg,773,95.89,268.85
122,16,Item_122,Appetizer,Bakery,Veg,908,432.4,1286.01
123,16,Item_123,Dessert,Bakery,Non-Veg,288,114.01,258.15
124,16,Item_124,Dessert,Bakery,Veg,212,264.48,597.11
125,16,Item_125,Snacks,Bakery,Veg,554,395.57,1181.48
126,16,Item_126,Dessert,Bakery,Veg,952,388.74,825.82
127,16,Item_127,Snacks,Bakery,Veg,414,224.18,339.87
128,16,Item_128,Main Course,Bakery,Non-Veg,631,57.04,149.75
129,16,Item_129,Main Course,Bakery,Non-Veg,518,211.74,445.27
130,16,Item_130,Appetizer,Bakery,Non-Veg,499,85.15,178.84
131,17,Item_131,Snacks,Thai,Non-Veg,342,367.27,726.17
132,17,Item_132,Appetizer,Thai,Non-Veg,467,276.97,660.28
133,17,Item_133,Appetizer,Thai,Veg,719,247.94,734.14
134,17,Item_134,Snacks,Thai,Veg,505,305.95,499.39
135,17,Item_135,Beverage,Thai,Non-Veg,505,258.19,742.86
136,17,Item_136,Beverage,Thai,Non-Veg,968,335.17,915.96
137,17,Item_137,Appetizer,Thai,Non-Veg,946,94.37,205.7
138,17,Item_138,Beverage,Thai,Veg,249,362.06,804.92
139,18,Item_139,Beverage,Thai,Non-Veg,373,226.6,665.71
140,18,Item_140,Dessert,Thai,Non-Veg,903,336.6,654.95
141,18,Item_141,Main Course,Thai,Veg,299,207.75,542.26
142,18,Item_142,Beverage,Thai,Non-Veg,195,200.5,307.49
143,18,Item_143,Main Course,Thai,Non-Veg,915,150.49,290.67
144,18,Item_144,Beverage,Thai,Non-Veg,313,329.86,855.92
145,18,Item_145,Appetizer,Thai,Veg,864,442.59,1238.51
146,18,Item_146,Beverage,Thai,Veg,669,487.68,1152.49
147,18,Item_147,Main Course,Thai,Non-Veg,540,324.21,812.27
148,19,Item_148,Main Course,Mughlai,Veg,912,345.2,736.29
149,19,Item_149,Beverage,Mughlai,Non-Veg,759,112.73,287.53
150,19,Item_150,Appetizer,Mughlai,Non-Veg,970,126.93,274.82
151,19,Item_151,Dessert,Mughlai,Non-Veg,669,102.35,305.96
152,19,Item_152,Main Course,Mughlai,Non-Veg,329,122.5,278.43
153,19,Item_153,Dessert,Mughlai,Non-Veg,840,149.2,309.28
154,19,Item_154,Appetizer,Mughlai,Veg,681,297.78,781.87
155,19,Item_155,Dessert,Mughlai,Veg,626,265.99,418.42
156,19,Item_156,Dessert,Mughlai,Veg,118,323.81,704.26
157,19,Item_157,Main Course,Mughlai,Non-Veg,825,480.93,930.48
158,20,Item_158,Main Course,South Indian,Veg,487,199.62,444.26
159,20,Item_159,Dessert,South Indian,Non-Veg,888,299.1,542.9
160,20,Item_160,Beverage,South Indian,Veg,802,457.81,1264.6
161,20,Item_161,Appetizer,South Indian,Veg,477,110.6,204.85
162,20,Item_162,Beverage,South Indian,Veg,241,467.08,1095.48
163,20,Item_163,Appetizer,South Indian,Non-Veg,355,468.45,705.22
164,20,Item_164,Snacks,South Indian,Veg,129,216.75,466.13
165,20,Item_165,Beverage,South Indian,Non-Veg,598,251.64,494.22
166,20,Item_166,Appetizer,South Indian,Veg,355,62.97,154.34
167,20,Item_167,Appetizer,South Indian,Non-Veg,230,306.73,570.83
168,20,Item_168,Beverage,South Indian,Veg,277,460.95,864.91
169,20,Item_169,Beverage,South Indian,Veg,916,102.27,175.92
170,20,Item_170,Dessert,South Indian,Veg,631,157.04,449.98
171,20,Item_171,Dessert,South Indian,Veg,121,373.31,881.05
172,21,Item_172,Appetizer,Bakery,Non-Veg,817,245.25,397.04
173,21,Item_173,Beverage,Bakery,Veg,786,119.57,309.99
174,21,Item_174,Beverage,Bakery,Veg,651,340.88,961.36
175,21,Item_175,Dessert,Bakery,Veg,762,392.66,795.02
176,21,Item_176,Main Course,Bakery,Veg,430,305.33,740.5
177,21,Item_177,Snacks,Bakery,Non-Veg,556,374.91,1089.46
178,21,Item_178,Main Course,Bakery,Non-Veg,787,217.96,463.12
179,21,Item_179,Beverage,Bakery,Veg,418,86.32,217.54
180,21,Item_180,Beverage,Bakery,Non-Veg,245,424.09,1255.92
181,21,Item_181,Appetizer,Bakery,Non-Veg,124,135.58,292.94
182,21,Item_182,Beverage,Bakery,Veg,439,179.8,302.7
183,21,Item_183,Appetizer,Bakery,Non-Veg,959,375.1,894.1
184,22,Item_184,Dessert,Chinese,Non-Veg,589,283.58,698.7
185,22,Item_185,Dessert,Chinese,Veg,175,412.41,687.67
186,22,Item_186,Beverage,Chinese,Veg,304,355.08,557.18
187,22,Item_187,Appetizer,Chinese,Veg,361,272.95,543.8
188,22,Item_188,Dessert,Chinese,Non-Veg,164,131.54,245.11
189,22,Item_189,Snacks,Chinese,Non-Veg,661,262.88,712.92
190,22,Item_190,Snacks,Chinese,Veg,939,431.62,733.27
191,22,Item_191,Dessert,Chinese,Non-Veg,779,190.57,326.11
192,22,Item_192,Snacks,Chinese,Veg,185,164.67,474.65
193,22,Item_193,Dessert,Chinese,Non-Veg,697,132.92,211.69
194,23,Item_194,Snacks,Italian,Veg,436,420.58,697.43
195,23,Item_195,Beverage,Italian,Veg,378,137.47,388.38
196,23,Item_196,Snacks,Italian,Veg,859,329.29,866.82
197,23,Item_197,Main Course,Italian,Non-Veg,329,173.63,340.25
198,23,Item_198,Snacks,Italian,Veg,773,358.29,847.89
199,23,Item_199,Snacks,Italian,Veg,767,223.31,597.79
200,23,Item_200,Main Course,Italian,Veg,514,241.41,500.63
201,23,Item_201,Main Course,Italian,Non-Veg,120,462.4,1118.73
202,23,Item_202,Appetizer,Italian,Veg,550,111.67,197.74
203,24,Item_203,Appetizer,American,Non-Veg,256,182.62,449.56
204,24,Item_204,Appetizer,American,Non-Veg,219,253.19,410.03
205,24,Item_205,Beverage,American,Veg,605,124.92,246.25
206,24,Item_206,Snacks,American,Non-Veg,235,158.19,368.77
207,24,Item_207,Appetizer,American,Veg,931,70.46,211.37
208,24,Item_208,Appetizer,American,Non-Veg,975,166.08,264.11
209,24,Item_209,Dessert,American,Non-Veg,437,79.0,161.98
210,24,Item_210,Dessert,American,Veg,952,202.3,446.56
211,24,Item_211,Appetizer,American,Non-Veg,912,54.81,139.07
212,24,Item_212,Main Course,American,Non-Veg,225,51.29,100.97
213,24,Item_213,Main Course,American,Veg,283,279.04,828.05
214,24,Item_214,Main Course,American,Veg,553,58.5,103.95
215,24,Item_215,Appetizer,American,Non-Veg,562,142.74,299.33
216,24,Item_216,Appetizer,American,Non-Veg,637,74.09,115.89
217,24,Item_217,Main Course,American,Non-Veg,402,350.08,778.71
218,25,Item_218,Main Course,American,Non-Veg,782,322.44,629.9
219,25,Item_219,Beverage,American,Veg,608,115.19,200.38
220,25,Item_220,Main Course,American,Non-Veg,776,424.32,1036.2
221,25,Item_221,Main Course,American,Veg,727,161.12,466.07
222,25,Item_222,Main Course,American,Non-Veg,588,138.93,272.9
223,26,Item_223,Appetizer,Street Food,Non-Veg,973,339.4,516.33
224,26,Item_224,Main Course,Street Food,Veg,630,260.28,757.56
225,26,Item_225,Dessert,Street Food,Veg,784,205.45,508.91
226,26,Item_226,Dessert,Street Food,Non-Veg,487,135.09,380.0
227,26,Item_227,Snacks,Street Food,Veg,681,485.03,1258.12
228,27,Item_228,Dessert,Japanese,Non-Veg,669,144.48,300.5
229,27,Item_229,Dessert,Japanese,Veg,579,403.32,908.05
230,27,Item_230,Snacks,Japanese,Veg,702,319.81,957.79
231,27,Item_231,Beverage,Japanese,Veg,817,349.82,806.61
232,27,Item_232,Snacks,Japanese,Veg,577,355.04,603.14
233,27,Item_233,Beverage,Japanese,Veg,232,154.73,381.93
234,27,Item_234,Beverage,Japanese,Non-Veg,645,51.49,132.25
235,27,Item_235,Beverage,Japanese,Non-Veg,536,73.27,204.94
236,27,Item_236,Dessert,Japanese,Non-Veg,181,131.12,324.66
237,27,Item_237,Dessert,Japanese,Veg,503,489.86,1279.16
238,27,Item_238,Main Course,Japanese,Non-Veg,434,376.0,702.35
239,27,Item_239,Appetizer,Japanese,Non-Veg,950,110.39,323.73
240,27,Item_240,Appetizer,Japanese,Non-Veg,365,452.74,1206.27
241,27,Item_241,Appetizer,Japanese,Non-Veg,230,412.27,660.45
242,28,Item_242,Main Course,Fast Food,Veg,475,75.84,182.93
243,28,Item_243,Main Course,Fast Food,Non-Veg,128,336.17,815.85
244,28,Item_244,Dessert,Fast Food,Veg,287,311.55,606.75
245,28,Item_245,Dessert,Fast Food,Veg,163,463.01,1112.15
246,28,Item_246,Appetizer,Fast Food,Non-Veg,764,243.32,584.88
247,28,Item_247,Snacks,Fast Food,Non-Veg,235,207.66,481.6
248,28,Item_248,Beverage,Fast Food,Non-Veg,966,129.84,353.3
249,28,Item_249,Main Course,Fast Food,Non-Veg,694,350.46,706.67
250,28,Item_250,Snacks,Fast Food,Non-Veg,747,359.19,563.16
251,29,Item_251,Beverage,Healthy Food,Veg,403,267.15,609.92
252,29,Item_252,Snacks,Healthy Food,Non-Veg,939,150.12,364.12
253,29,Item_253,Main Course,Healthy Food,Non-Veg,277,365.86,716.3
254,29,Item_254,Beverage,Healthy Food,Non-Veg,390,121.55,286.35
255,29,Item_255,Main Course,Healthy Food,Non-Veg,854,261.39,766.84
256,29,Item_256,Dessert,Healthy Food,Non-Veg,773,233.95,609.42
257,29,Item_257,Beverage,Healthy Food,Veg,683,189.25,556.7
258,29,Item_258,Beverage,Healthy Food,Veg,230,323.67,768.2
259,29,Item_259,Beverage,Healthy Food,Veg,943,310.18,473.31
260,29,Item_260,Dessert,Healthy Food,Non-Veg,679,344.73,623.2
261,29,Item_261,Dessert,Healthy Food,Veg,613,362.99,927.05
262,29,Item_262,Main Course,Healthy Food,Veg,280,434.55,1112.43
263,29,Item_263,Snacks,Healthy Food,Non-Veg,128,484.52,1439.49
264,30,Item_264,Dessert,Continental,Veg,795,380.73,1068.93
265,30,Item_265,Beverage,Continental,Non-Veg,242,147.67,419.83
266,30,Item_266,Main Course,Continental,Veg,227,88.06,166.22
267,30,Item_267,Main Course,Continental,Veg,319,59.7,107.69
268,30,Item_268,Beverage,Continental,Veg,616,185.84,348.27
269,30,Item_269,Beverage,Continental,Non-Veg,664,253.38,606.26
270,30,Item_270,Dessert,Continental,Non-Veg,338,456.64,1368.55
271,30,Item_271,Main Course,Continental,Veg,416,378.64,599.2
272,30,Item_272,Main Course,Continental,Non-Veg,423,298.71,701.14
273,30,Item_273,Beverage,Continental,Veg,511,196.26,548.41
274,31,Item_274,Appetizer,Bakery,Non-Veg,211,345.34,529.44
275,31,Item_275,Snacks,Bakery,Veg,562,186.95,460.88
276,31,Item_276,Snacks,Bakery,Veg,950,265.27,656.99
277,31,Item_277,Appetizer,Bakery,Non-Veg,592,446.54,782.2
278,31,Item_278,Beverage,Bakery,Veg,294,455.02,901.32
279,31,Item_279,Beverage,Bakery,Veg,855,430.64,1051.82
280,32,Item_280,Beverage,Italian,Veg,540,289.85,810.73
281,32,Item_281,Dessert,Italian,Non-Veg,819,289.23,651.41
282,32,Item_282,Main Course,Italian,Veg,861,460.54,1237.31
283,32,Item_283,Main Course,Italian,Veg,876,127.86,236.72
284,32,Item_284,Beverage,Italian,Veg,821,134.5,364.13
285,32,Item_285,Snacks,Italian,Non-Veg,475,283.81,433.62
286,32,Item_286,Snacks,Italian,Non-Veg,225,252.9,712.15
287,32,Item_287,Main Course,Italian,Non-Veg,518,98.26,278.21
288,32,Item_288,Appetizer,Italian,Non-Veg,883,380.44,1091.27
289,32,Item_289,Dessert,Italian,Veg,943,448.48,776.78
290,32,Item_290,Dessert,Italian,Veg,147,326.99,854.64
291,32,Item_291,Dessert,Italian,Non-Veg,316,162.75,331.27
292,32,Item_292,Snacks,Italian,Non-Veg,355,71.34,151.43
293,33,Item_293,Main Course,Mexican,Non-Veg,503,265.07,578.49
294,33,Item_294,Main Course,Mexican,Non-Veg,855,256.74,393.31
295,33,Item_295,Snacks,Mexican,Non-Veg,558,157.79,408.44
296,33,Item_296,Appetizer,Mexican,Veg,158,470.05,1215.41
297,33,Item_297,Main Course,Mexican,Non-Veg,408,164.49,418.93
298,33,Item_298,Main Course,Mexican,Veg,600,404.49,888.46
299,33,Item_299,Main Course,Mexican,Non-Veg,375,422.09,1142.55
300,33,Item_300,Beverage,Mexican,Non-Veg,449,55.49,160.04
301,33,Item_301,Dessert,Mexican,Veg,209,321.91,839.19
302,33,Item_302,Main Course,Mexican,Non-Veg,794,207.4,525.36
303,33,Item_303,Appetizer,Mexican,Non-Veg,594,182.4,473.93
304,34,Item_304,Beverage,Desserts,Veg,822,139.4,318.43
305,34,Item_305,Dessert,Desserts,Non-Veg,209,456.62,1270.43
306,34,Item_306,Main Course,Desserts,Non-Veg,110,50.78,97.07
307,34,Item_307,Snacks,Desserts,Veg,143,476.77,1280.28
308,34,Item_308,Main Course,Desserts,Non-Veg,330,354.83,877.92
309,34,Item_309,Dessert,Desserts,Non-Veg,863,208.67,326.89
310,34,Item_310,Dessert,Desserts,Veg,755,70.71,139.72
311,34,Item_311,Beverage,Desserts,Non-Veg,846,121.53,221.03
312,34,Item_312,Snacks,Desserts,Non-Veg,739,184.2,321.63
313,34,Item_313,Main Course,Desserts,Non-Veg,145,196.28,501.8
314,34,Item_314,Snacks,Desserts,Veg,803,277.07,682.37
315,35,Item_315,Snacks,Healthy Food,Veg,165,455.41,903.21
316,35,Item_316,Snacks,Healthy Food,Non-Veg,689,230.3,523.04
317,35,Item_317,Appetizer,Healthy Food,Non-Veg,147,104.61,308.74
318,35,Item_318,Beverage,Healthy Food,Veg,335,192.19,386.6
319,35,Item_319,Main Course,Healthy Food,Non-Veg,376,160.29,248.57
320,35,Item_320,Beverage,Healthy Food,Veg,247,251.58,440.95
321,35,Item_321,Main Course,Healthy Food,Non-Veg,577,144.19,340.27
322,35,Item_322,Dessert,Healthy Food,Veg,750,207.59,477.84
323,35,Item_323,Snacks,Healthy Food,Non-Veg,193,471.96,1097.01
324,35,Item_324,Beverage,Healthy Food,Veg,812,192.29,344.46
325,35,Item_325,Snacks,Healthy Food,Non-Veg,942,72.01,142.9
326,35,Item_326,Beverage,Healthy Food,Non-Veg,727,385.9,738.4
327,35,Item_327,Appetizer,Healthy Food,Veg,774,497.2,760.26
328,35,Item_328,Dessert,Healthy Food,Non-Veg,559,209.1,407.1
329,35,Item_329,Snacks,Healthy Food,Veg,623,451.75,1094.06
330,36,Item_330,Beverage,Desserts,Veg,249,330.61,681.36
331,36,Item_331,Main Course,Desserts,Veg,309,222.56,454.7
332,36,Item_332,Beverage,Desserts,Non-Veg,445,137.56,292.19
333,36,Item_333,Snacks,Desserts,Veg,469,208.77,348.78
334,36,Item_334,Snacks,Desserts,Veg,981,188.69,482.98
335,36,Item_335,Snacks,Desserts,Non-Veg,678,154.77,453.28
336,36,Item_336,Appetizer,Desserts,Veg,359,363.31,791.17
337,37,Item_337,Appetizer,Thai,Non-Veg,488,123.13,310.96
338,37,Item_338,Dessert,Thai,Veg,719,139.64,286.63
339,37,Item_339,Snacks,Thai,Veg,498,262.68,716.97
340,37,Item_340,Appetizer,Thai,Non-Veg,500,483.27,1131.42
341,37,Item_341,Snacks,Thai,Non-Veg,247,147.87,346.11
342,37,Item_342,Dessert,Thai,Veg,832,297.92,544.98
343,37,Item_343,Main Course,Thai,Veg,948,88.15,188.2
344,37,Item_344,Snacks,Thai,Non-Veg,717,222.09,380.16
345,37,Item_345,Dessert,Thai,Veg,307,178.24,347.25
346,37,Item_346,Beverage,Thai,Non-Veg,325,414.85,854.19
347,37,Item_347,Main Course,Thai,Non-Veg,909,499.26,1017.16
348,37,Item_348,Beverage,Thai,Non-Veg,953,302.45,819.64
349,37,Item_349,Snacks,Thai,Non-Veg,518,180.29,328.26
350,37,Item_350,Main Course,Thai,Veg,889,435.9,994.55
351,38,Item_351,Snacks,Fast Food,Non-Veg,670,327.98,802.54
352,38,Item_352,Dessert,Fast Food,Non-Veg,933,121.61,263.87
353,38,Item_353,Snacks,Fast Food,Veg,381,103.2,278.33
354,38,Item_354,Main Course,Fast Food,Non-Veg,362,364.83,1048.48
355,38,Item_355,Snacks,Fast Food,Veg,125,256.27,626.49
356,38,Item_356,Beverage,Fast Food,Veg,514,296.78,663.6
357,38,Item_357,Snacks,Fast Food,Veg,348,74.38,114.73
358,38,Item_358,Dessert,Fast Food,Non-Veg,685,488.38,1451.28
359,38,Item_359,Appetizer,Fast Food,Non-Veg,406,233.63,448.01
360,38,Item_360,Appetizer,Fast Food,Non-Veg,884,143.97,387.59
361,38,Item_361,Snacks,Fast Food,Veg,741,385.72,769.38
362,39,Item_362,Main Course,Japanese,Veg,531,214.52,594.47
363,39,Item_363,Snacks,Japanese,Veg,198,322.68,556.26
364,39,Item_364,Beverage,Japanese,Veg,844,378.73,783.36
365,39,Item_365,Main Course,Japanese,Veg,399,487.38,1159.46
366,39,Item_366,Main Course,Japanese,Non-Veg,625,494.8,1200.15
367,39,Item_367,Beverage,Japanese,Non-Veg,100,161.2,293.59
368,39,Item_368,Main Course,Japanese,Non-Veg,415,208.77,456.7
369,39,Item_369,Snacks,Japanese,Non-Veg,504,239.08,452.4
370,39,Item_370,Beverage,Japanese,Non-Veg,950,218.55,435.43
371,39,Item_371,Snacks,Japanese,Veg,909,189.27,349.52
372,40,Item_372,Dessert,Street Food,Veg,313,124.82,292.47
373,40,Item_373,Appetizer,Street Food,Veg,288,368.87,624.9
374,40,Item_374,Appetizer,Street Food,Non-Veg,224,437.04,963.08
375,40,Item_375,Main Course,Street Food,Veg,752,285.03,481.66
376,40,Item_376,Snacks,Street Food,Veg,634,336.06,583.97
377,40,Item_377,Dessert,Street Food,Veg,807,248.96,471.08
378,40,Item_378,Main Course,Street Food,Veg,598,498.28,1477.56
379,40,Item_379,Dessert,Street Food,Veg,771,159.31,274.7
380,40,Item_380,Snacks,Street Food,Veg,835,111.7,237.94
381,40,Item_381,Appetizer,Street Food,Veg,981,329.34,746.14
382,40,Item_382,Snacks,Street Food,Veg,466,411.48,663.64
383,40,Item_383,Beverage,Street Food,Non-Veg,246,260.05,604.7
384,40,Item_384,Dessert,Street Food,Veg,233,489.02,1367.21
385,40,Item_385,Snacks,Street Food,Non-Veg,199,157.16,338.94
386,40,Item_386,Dessert,Street Food,Non-Veg,953,424.54,995.89
387,41,Item_387,Main Course,Desserts,Non-Veg,158,308.88,751.29
388,41,Item_388,Appetizer,Desserts,Non-Veg,570,396.84,1174.97
389,41,Item_389,Main Course,Desserts,Veg,852,468.95,1043.34
390,41,Item_390,Appetizer,Desserts,Non-Veg,378,73.01,165.95
391,41,Item_391,Appetizer,Desserts,Veg,713,347.21,903.62
392,41,Item_392,Appetizer,Desserts,Non-Veg,550,445.46,972.51
393,41,Item_393,Snacks,Desserts,Non-Veg,129,248.13,557.84
394,41,Item_394,Appetizer,Desserts,Non-Veg,642,143.64,251.36
395,41,Item_395,Main Course,Desserts,Non-Veg,186,365.07,691.68
396,41,Item_396,Dessert,Desserts,Non-Veg,223,478.97,1267.7
397,41,Item_397,Appetizer,Desserts,Veg,712,470.68,1048.17
398,41,Item_398,Appetizer,Desserts,Veg,665,427.89,813.15
