Rider_ID,Experience_Years,Vehicle_Type,Shift,Joining_Date,Rating,Service_Preference
52,1,Cycle,Morning,2023-08-25,4.6,Main
53,3,Bike,Morning,2022-02-26,3.7,Bolt
54,7,Scooter,Evening,2023-05-09,4.3,Toing
55,0,Bike,Morning,2022-11-20,4.7,All
56,2,Scooter,Full-time,2022-03-02,3.8,Main
57,1,Scooter,Morning,2022-10-11,3.5,Bolt
58,2,Scooter,Full-time,2022-11-15,5.0,All
59,2,Scooter,Morning,2022-04-22,3.5,Bolt
60,10,Bike,Full-time,2022-05-06,4.3,Bolt
61,7,Cycle,Evening,2022-08-21,4.1,Toing
62,10,Cycle,Morning,2022-01-01,3.6,Toing
63,1,Cycle,Full-time,2022-06-01,4.4,Toing
64,3,Bike,Full-time,2023-04-22,4.1,Main
65,8,Bike,Night,2022-04-10,3.6,All
66,2,Bike,Evening,2023-09-09,3.9,Bolt
67,5,Scooter,Morning,2022-07-17,4.0,Main
68,5,Scooter,Morning,2023-11-05,4.8,All
69,5,Bike,Full-time,2023-06-02,5.0,Toing
70,2,Bike,Night,2023-04-12,3.8,All
71,7,Cycle,Evening,2022-03-08,3.7,Main
72,2,Cycle,Night,2022-02-23,3.9,Main
73,9,Scooter,Morning,2022-12-17,3.9,Toing
74,3,Scooter,Full-time,2022-12-12,4.0,Toing
75,1,Cycle,Night,2023-06-22,3.6,Main
76,4,Cycle,Evening,2023-08-23,4.8,All
77,7,Scooter,Morning,2022-12-05,3.7,Bolt
78,0,Cycle,Night,2022-01-26,4.2,Main
79,7,Scooter,Evening,2022-01-29,4.0,Main
80,7,Cycle,Full-time,2022-01-18,4.0,All
81,10,Scooter,Morning,2022-05-05,4.7,Bolt
82,1,Scooter,Full-time,2022-06-02,4.6,Toing
83,0,Scooter,Morning,2023-11-23,4.7,Main
84,1,Scooter,Evening,2022-03-14,4.1,Toing
85,1,Scooter,Night,2022-03-03,4.5,Main
86,5,Cycle,Night,2022-05-17,4.4,Main
87,7,Cycle,Evening,2023-02-24,4.8,Toing
88,7,Cycle,Night,2022-05-19,4.4,Toing
89,7,Bike,Full-time,2022-08-03,3.6,Main
90,6,Bike,Evening,2022-07-07,4.8,Bolt
91,5,Bike,Full-time,2022-07-10,4.5,Toing
92,0,Scooter,Full-time,2023-07-26,4.1,Main
93,5,Cycle,Evening,2023-07-25,4.5,All
94,6,Bike,Full-time,2022-02-16,4.0,All
95,4,Cycle,Full-time,2022-11-29,3.9,Main
96,1,Scooter,Night,2023-04-13,3.7,Bolt
97,8,Cycle,Morning,2022-10-12,3.8,All
98,4,Scooter,Morning,2022-10-13,4.6,Bolt
99,0,Cycle,Full-time,2023-03-16,4.2,Toing
100,6,Cycle,Night,2023-03-14,4.1,Toing
101,4,Cycle,Night,2023-04-01,4.3,All
102,4,Scooter,Night,2022-07-07,4.5,Bolt
103,6,Cycle,Night,2022-07-26,4.1,Toing
104,0,Bike,Morning,2022-01-25,4.4,Toing
105,9,Scooter,Full-time,2022-09-07,4.0,All
106,10,Bike,Night,2022-11-18,4.6,Toing
107,10,Scooter,Evening,2023-09-15,4.2,Main
108,0,Bike,Morning,2022-06-23,4.3,Main
109,1,Scooter,Full-time,2023-09-21,4.6,Main
110,5,Cycle,Night,2023-03-31,4.4,All
111,0,Cycle,Night,2023-03-26,4.1,Main
112,8,Bike,Night,2022-09-11,4.5,Bolt
113,4,Cycle,Full-time,2023-11-09,4.2,Bolt
114,1,Bike,Full-time,2023-07-24,4.4,All
115,10,Scooter,Evening,2022-10-31,5.0,Bolt
116,2,Bike,Morning,2023-10-30,4.4,Toing
117,6,Bike,Morning,2023-07-29,4.1,Main
118,6,Cycle,Full-time,2022-01-27,4.1,Main
119,5,Bike,Morning,2023-07-07,5.0,Main
120,5,Bike,Morning,2022-12-30,4.0,All
121,7,Cycle,Morning,2023-04-29,4.9,Toing
122,2,Scooter,Evening,2023-04-17,4.9,Main
123,2,Scooter,Evening,2023-08-04,4.2,Toing
124,3,Cycle,Evening,2023-10-23,4.1,Toing
125,6,Cycle,Full-time,2023-04-30,4.9,Bolt
126,6,Bike,Morning,2022-03-31,4.5,Toing
127,4,Cycle,Night,2022-12-12,3.8,All
128,6,Cycle,Full-time,2023-06-28,4.1,Toing
129,4,Cycle,Morning,2023-07-02,4.9,Bolt
130,4,Bike,Night,2022-01-17,4.3,All
131,10,Scooter,Night,2022-12-27,3.9,Main
132,5,Scooter,Night,2023-04-27,4.6,Bolt
133,5,Cycle,Morning,2022-10-09,4.1,Bolt
134,4,Scooter,Evening,2023-07-23,4.9,Main
135,8,Cycle,Morning,2023-10-28,4.1,All
136,0,Scooter,Night,2023-04-08,3.8,Main
137,2,Scooter,Night,2022-11-02,4.9,Main
138,10,Scooter,Full-time,2022-08-12,3.8,Bolt
139,8,Scooter,Evening,2023-03-21,3.6,Main
140,5,Bike,Night,2023-03-15,3.9,Bolt
141,4,Bike,Evening,2022-04-06,4.4,All
142,7,Scooter,Full-time,2023-02-28,3.7,Toing
143,3,Scooter,Night,2022-04-19,4.0,All
144,6,Scooter,Full-time,2023-08-20,3.7,Main
145,10,Cycle,Morning,2022-06-03,4.7,Toing
146,1,Cycle,Evening,2023-01-08,4.5,Toing
147,4,Cycle,Morning,2022-09-19,4.0,Main
148,2,Cycle,Full-time,2023-05-06,4.9,All
149,9,Scooter,Night,2022-02-13,3.9,Bolt
150,2,Bike,Night,2023-03-13,4.1,Toing
151,7,Cycle,Evening,2022-06-22,4.7,All
152,0,Scooter,Full-time,2022-02-21,4.4,All
153,4,Bike,Night,2023-10-17,4.5,All
154,6,Bike,Morning,2022-01-12,4.9,Toing
155,10,Scooter,Evening,2022-05-14,4.4,All
156,4,Cycle,Full-time,2022-05-23,3.6,All
157,7,Cycle,Evening,2023-03-09,4.0,Main
158,0,Cycle,Full-time,2022-03-03,4.5,Toing
159,0,Cycle,Full-time,2022-10-19,3.8,Main
160,0,Scooter,Morning,2022-02-28,4.9,All
161,1,Cycle,Full-time,2023-01-24,3.9,Main
162,4,Cycle,Night,2023-01-01,3.8,Toing
163,1,Scooter,Evening,2022-02-06,4.0,Toing
164,8,Bike,Evening,2023-05-03,4.0,Toing
165,7,Cycle,Morning,2023-07-09,4.6,Toing
166,5,Cycle,Full-time,2022-07-04,4.1,All
167,5,Cycle,Full-time,2022-06-18,4.6,Bolt
168,9,Cycle,Full-time,2022-03-26,4.1,Main
169,9,Bike,Morning,2022-07-05,4.8,Bolt
170,4,Bike,Night,2023-10-15,3.9,All
171,5,Cycle,Night,2022-09-11,4.6,Toing
172,4,Cycle,Night,2022-09-14,4.0,Toing
173,0,Scooter,Night,2022-07-13,4.3,All
174,4,Bike,Morning,2023-09-28,3.7,Main
175,0,Scooter,Morning,2023-08-07,4.5,All
176,1,Bike,Night,2023-03-16,4.9,Main
177,3,Cycle,Full-time,2023-04-03,4.1,Toing
178,0,Cycle,Night,2023-03-09,3.7,Bolt
179,7,Bike,Night,2023-05-18,4.5,All
180,0,Scooter,Full-time,2023-10-23,3.9,Main
181,6,Cycle,Morning,2023-11-13,3.9,All
182,3,Bike,Night,2022-04-02,4.6,Bolt
183,10,Scooter,Full-time,2022-10-22,4.3,Toing
184,1,Scooter,Night,2022-04-15,3.5,All
185,1,Bike,Morning,2022-01-05,3.9,Bolt
186,4,Bike,Full-time,2022-01-09,4.2,Bolt
187,7,Cycle,Morning,2022-12-02,4.6,Toing
188,4,Cycle,Evening,2023-11-07,4.8,Bolt
189,2,Scooter,Full-time,2022-12-06,4.0,Bolt
190,3,Bike,Night,2022-07-07,3.9,Toing
191,0,Bike,Evening,2023-10-17,4.7,Toing
192,2,Bike,Evening,2023-08-11,4.4,Main
193,10,Bike,Night,2022-12-22,4.4,All
194,9,Bike,Full-time,2022-04-21,4.5,All
195,1,Cycle,Evening,2022-11-18,3.8,Bolt
196,4,Bike,Morning,2022-10-14,4.2,Toing
197,2,Scooter,Evening,2023-08-02,3.9,Bolt
198,1,Scooter,Full-time,2022-02-14,4.7,All
199,2,Cycle,Morning,2023-01-11,4.5,Main
200,5,Cycle,Evening,2022-11-01,3.6,All
201,6,Scooter,Full-time,2023-10-25,3.8,Main
202,9,Cycle,Full-time,2023-02-16,3.9,Bolt
203,0,Cycle,Morning,2022-09-22,4.2,Bolt
204,5,Bike,Night,2022-04-07,3.8,Bolt
205,8,Cycle,Morning,2022-12-06,3.7,Main
206,0,Bike,Night,2023-10-10,3.7,Toing
207,0,Scooter,Morning,2023-05-20,3.5,Toing
208,4,Scooter,Full-time,2022-07-07,3.9,Toing
209,0,Bike,Full-time,2023-07-06,3.6,Main
210,1,Cycle,Morning,2022-06-02,4.8,Main
211,6,Cycle,Night,2022-10-19,3.8,All
212,8,Bike,Night,2022-06-01,3.7,Toing
213,2,Bike,Night,2022-06-28,4.0,All
214,6,Scooter,Morning,2022-11-03,4.8,Toing
215,9,Cycle,Morning,2022-05-06,4.7,Toing
216,1,Bike,Full-time,2022-12-21,4.4,Toing
217,5,Scooter,Full-time,2022-06-30,4.1,Main
218,8,Bike,Morning,2022-03-14,3.9,Bolt
219,9,Scooter,Full-time,2023-05-13,4.4,Bolt
220,8,Scooter,Night,2022-03-07,4.7,Main
221,6,Bike,Morning,2022-06-13,4.0,Toing
222,2,Cycle,Morning,2023-11-21,3.9,All
223,2,Scooter,Morning,2022-12-15,4.1,Main
224,0,Cycle,Morning,2023-11-07,3.6,Toing
225,9,Cycle,Night,2023-07-17,5.0,Main
226,2,Bike,Morning,2023-07-31,4.3,Bolt
227,6,Bike,Full-time,2023-07-17,3.6,Bolt
228,6,Scooter,Evening,2022-12-17,4.9,All
229,8,Cycle,Evening,2023-11-22,4.7,All
230,1,Cycle,Full-time,2023-03-30,4.4,Bolt
231,6,Scooter,Night,2023-05-06,4.3,Toing
232,0,Bike,Full-time,2023-10-16,4.4,Main
233,6,Cycle,Evening,2022-04-27,3.6,Bolt
234,5,Cycle,Night,2022-11-30,5.0,Main
235,8,Bike,Evening,2022-03-08,3.7,Toing
236,10,Cycle,Full-time,2022-04-07,4.5,Toing
237,1,Bike,Morning,2023-11-08,4.0,Bolt
238,2,Bike,Evening,2023-01-22,4.5,Main
239,5,Bike,Morning,2023-05-02,3.8,Toing
240,7,Scooter,Morning,2023-11-07,4.7,Bolt
241,10,Cycle,Morning,2023-10-23,3.9,Toing
242,9,Cycle,Full-time,2023-03-06,5.0,Toing
243,2,Cycle,Night,2022-12-26,4.9,Bolt
244,8,Scooter,Evening,2023-04-07,3.6,All
245,5,Cycle,Morning,2022-08-20,4.8,Toing
246,1,Cycle,Evening,2022-08-30,3.8,Main
247,0,Cycle,Night,2023-04-25,4.6,All
248,1,Scooter,Full-time,2022-11-25,4.6,All
249,8,Cycle,Evening,2023-10-28,5.0,Toing
250,10,Scooter,Night,2022-04-24,4.6,Bolt
251,2,Scooter,Morning,2022-05-11,4.6,Main
252,2,Cycle,Full-time,2023-11-13,3.7,Main
253,1,Cycle,Evening,2022-11-25,3.7,Toing
254,1,Bike,Full-time,2022-12-22,4.0,Toing
255,7,Bike,Full-time,2023-08-17,4.4,Main
256,6,Bike,Full-time,2023-07-24,4.1,Main
257,9,Cycle,Morning,2022-11-21,4.6,Toing
258,7,Scooter,Night,2022-01-20,4.6,Bolt
259,5,Bike,Morning,2022-06-22,4.2,All
260,6,Cycle,Evening,2022-08-13,4.9,Bolt
261,5,Cycle,Evening,2023-02-03,4.5,All
262,2,Cycle,Evening,2022-09-21,4.2,Bolt
263,10,Scooter,Morning,2022-01-09,4.5,Toing
264,3,Scooter,Night,2023-05-15,4.7,Toing
265,3,Cycle,Full-time,2022-12-14,3.7,Main
266,1,Bike,Night,2022-10-26,3.9,Bolt
267,0,Bike,Full-time,2023-11-24,4.0,Toing
268,3,Scooter,Morning,2023-03-26,4.2,All
269,9,Bike,Evening,2022-05-20,4.8,All
270,0,Bike,Full-time,2022-08-06,3.8,Bolt
271,10,Cycle,Full-time,2023-11-09,4.5,Toing
272,6,Scooter,Morning,2022-06-16,4.7,Toing
273,8,Cycle,Full-time,2022-10-05,4.5,Toing
274,6,Scooter,Morning,2022-07-11,3.9,All
275,3,Scooter,Morning,2022-03-07,3.8,All
276,7,Bike,Full-time,2022-05-30,4.6,Main
277,2,Bike,Full-time,2022-05-25,4.7,All
278,2,Bike,Morning,2023-08-31,4.1,Toing
279,0,Cycle,Evening,2022-12-14,4.2,Bolt
280,0,Bike,Morning,2023-05-22,4.6,Toing
281,10,Scooter,Morning,2023-06-26,4.0,Toing
282,0,Scooter,Night,2022-10-05,3.7,Toing
283,1,Bike,Night,2023-12-02,4.8,Toing
284,10,Cycle,Evening,2023-03-29,4.9,Toing
285,4,Cycle,Full-time,2023-05-05,4.8,Toing
286,8,Bike,Morning,2023-07-02,4.9,Toing
287,8,Scooter,Morning,2023-08-25,4.2,Main
288,10,Scooter,Full-time,2022-06-18,4.9,All
289,1,Scooter,Evening,2023-06-24,4.5,Bolt
290,5,Scooter,Evening,2023-10-06,3.9,All
291,5,Scooter,Evening,2022-10-04,4.2,Bolt
292,6,Bike,Evening,2023-07-05,4.8,Main
293,6,Scooter,Full-time,2022-09-03,3.8,Toing
294,10,Scooter,Full-time,2023-03-28,4.1,Bolt
295,1,Cycle,Evening,2023-07-04,3.6,Main
296,5,Scooter,Evening,2022-07-20,3.5,Toing
297,7,Bike,Evening,2023-04-08,4.0,All
298,6,Cycle,Evening,2022-03-12,4.3,Toing
299,5,Bike,Night,2022-04-16,4.9,Main
300,5,Cycle,Night,2022-11-02,4.2,Main
301,1,Bike,Morning,2022-05-31,3.7,Toing
302,6,Cycle,Morning,2022-10-10,4.0,Toing
303,1,Cycle,Morning,2023-08-29,4.8,Toing
304,9,Cycle,Evening,2022-06-13,4.3,Bolt
305,0,Bike,Evening,2022-10-26,3.9,All
306,4,Scooter,Night,2023-07-15,4.9,Main
307,10,Bike,Night,2023-04-19,4.1,Toing
308,6,Cycle,Morning,2022-04-14,4.8,Bolt
309,4,Cycle,Full-time,2022-07-09,4.5,Bolt
310,1,Bike,Full-time,2023-08-07,4.8,All
311,3,Bike,Full-time,2023-10-19,3.9,Main
312,9,Cycle,Morning,2022-10-03,3.7,Bolt
313,7,Bike,Evening,2023-02-20,4.5,All
314,1,Cycle,Morning,2022-12-20,4.2,Toing
315,7,Scooter,Morning,2023-06-23,4.3,Toing
316,4,Scooter,Night,2022-07-26,3.9,Main
317,3,Bike,Night,2023-01-14,3.7,All
318,5,Bike,Evening,2022-04-22,3.9,Toing
319,7,Cycle,Morning,2022-08-21,4.0,Toing
320,5,Cycle,Night,2022-07-16,3.6,Bolt
321,1,Scooter,Morning,2022-08-25,4.5,All
322,9,Cycle,Evening,2023-04-20,4.2,Main
323,3,Scooter,Full-time,2022-07-23,4.3,Toing
324,0,Cycle,Morning,2023-09-28,3.5,Main
325,8,Bike,Evening,2023-05-12,5.0,Main
326,5,Cycle,Morning,2023-11-06,4.1,Main
327,0,Bike,Morning,2022-12-03,4.9,All
328,10,Bike,Evening,2023-10-04,4.0,Main
329,9,Cycle,Morning,2022-12-09,4.1,All
330,0,Bike,Evening,2022-06-26,4.4,All
331,5,Scooter,Morning,2023-02-09,4.6,All
332,4,Cycle,Full-time,2023-05-10,5.0,Bolt
333,7,Scooter,Morning,2022-05-17,4.2,Main
334,9,Bike,Night,2023-03-05,4.4,Main
335,2,Cycle,Night,2023-07-04,3.8,All
336,4,Scooter,Morning,2023-02-18,4.6,Toing
337,10,Scooter,Night,2023-08-26,3.6,All
338,0,Bike,Morning,2022-01-06,5.0,Bolt
339,10,Cycle,Morning,2022-05-06,4.5,All
340,7,Bike,Morning,2023-09-30,3.8,Main
341,0,Bike,Morning,2023-03-21,4.4,Toing
342,3,Bike,Full-time,2022-07-06,4.5,Toing
343,0,Scooter,Morning,2023-06-01,4.7,Bolt
344,5,Bike,Full-time,2022-10-27,3.8,Toing
345,10,Bike,Night,2022-07-31,4.2,Main
346,7,Cycle,Morning,2022-09-16,4.7,All
347,3,Bike,Evening,2023-07-01,5.0,Toing
348,4,Bike,Morning,2023-04-28,5.0,Main
349,6,Bike,Night,2023-11-11,4.4,All
350,8,Scooter,Evening,2023-02-18,4.0,All
351,7,Scooter,Night,2022-08-25,3.9,Toing
352,9,Cycle,Night,2022-01-04,4.8,All
353,10,Scooter,Night,2022-10-31,3.8,Toing
354,3,Scooter,Morning,2022-09-28,3.7,Main
355,3,Cycle,Morning,2022-08-12,4.2,All
356,1,Scooter,Morning,2022-08-10,3.9,Main
357,6,Scooter,Night,2022-04-16,5.0,All
358,4,Cycle,Evening,2022-09-17,4.6,Bolt
359,6,Scooter,Evening,2023-05-02,4.8,All
360,7,Cycle,Night,2023-07-22,4.9,Main
361,5,Scooter,Evening,2022-12-29,4.7,Toing
362,3,Bike,Full-time,2022-07-29,4.7,Main
363,2,Scooter,Night,2023-08-14,4.0,All
364,1,Bike,Night,2023-01-01,4.9,Toing
365,7,Cycle,Morning,2023-09-15,4.7,Toing
366,4,Scooter,Night,2023-11-06,4.8,Toing
367,6,Bike,Night,2022-10-09,3.5,Main
368,2,Cycle,Evening,2023-02-15,4.8,Toing
369,1,Cycle,Night,2022-01-10,4.4,Bolt
370,9,Scooter,Night,2022-05-07,4.8,Bolt
371,2,Cycle,Evening,2023-02-22,4.3,All
372,10,Scooter,Evening,2023-02-02,4.6,Main
373,0,Scooter,Morning,2022-12-08,4.0,Toing
374,9,Scooter,Evening,2022-03-18,3.6,Main
375,2,Scooter,Night,2022-05-02,4.5,All
376,3,Cycle,Evening,2023-04-04,4.1,All
377,9,Cycle,Evening,2023-11-01,3.7,Toing
378,8,Bike,Morning,2023-07-26,3.5,Bolt
379,6,Scooter,Evening,2022-11-20,4.0,Main
380,10,Bike,Full-time,2023-03-11,4.9,Toing
381,4,Cycle,Night,2022-01-03,3.5,Main
382,3,Scooter,Night,2022-06-21,4.8,Toing
383,7,Bike,Morning,2022-11-21,4.2,Bolt
384,4,Bike,Morning,2023-04-23,4.7,Toing
385,0,Cycle,Night,2022-03-19,4.3,Toing
386,9,Bike,Night,2023-05-19,5.0,Main
387,7,Scooter,Evening,2022-12-09,4.1,Toing
388,10,Bike,Evening,2023-06-04,5.0,Toing
389,2,Bike,Night,2022-02-01,3.7,Bolt
390,6,Scooter,Full-time,2023-09-11,4.5,Bolt
391,4,Bike,Evening,2023-04-13,3.9,All
392,4,Cycle,Morning,2023-07-03,4.4,Bolt
393,8,Bike,Evening,2023-05-06,3.7,Main
394,10,Scooter,Evening,2023-01-15,3.6,Bolt
395,4,Cycle,Night,2023-08-31,4.0,Toing
396,7,Scooter,Morning,2023-10-26,3.6,All
397,4,Scooter,Morning,2023-10-01,4.8,Main
398,3,Scooter,Morning,2022-11-13,5.0,Main
399,1,Scooter,Evening,2023-03-13,4.2,Main
400,5,Scooter,Evening,2023-06-02,4.7,Main
401,6,Cycle,Full-time,2023-06-17,4.6,Main
402,5,Bike,Full-time,2023-10-28,3.6,Main
403,1,Cycle,Night,2023-05-30,3.9,Toing
404,6,Cycle,Evening,2023-03-02,4.5,Bolt
405,8,Scooter,Morning,2023-08-23,4.6,Main
406,0,Cycle,Full-time,2022-01-04,4.4,Toing
407,3,Bike,Morning,2022-11-23,4.9,Main
408,0,Bike,Evening,2022-01-19,3.9,All
409,4,Scooter,Evening,2023-07-25,4.2,Bolt
410,5,Bike,Evening,2023-09-14,4.2,Main
411,10,Bike,Morning,2022-10-18,4.7,Toing
412,5,Bike,Evening,2022-05-28,4.0,Toing
413,5,Bike,Night,2023-05-26,3.8,All
414,6,Cycle,Night,2023-08-28,3.9,Bolt
415,10,Scooter,Evening,2022-04-12,4.0,Bolt
416,2,Cycle,Night,2022-12-02,3.7,Main
417,2,Cycle,Morning,2022-08-21,3.8,Toing
418,6,Bike,Night,2022-08-30,3.9,Bolt
419,7,Bike,Morning,2022-09-09,4.0,Main
420,8,Scooter,Full-time,2023-11-26,4.1,Bolt
421,5,Cycle,Morning,2022-10-25,3.5,Main
422,0,Cycle,Evening,2023-07-02,4.4,Toing
423,2,Scooter,Full-time,2022-04-03,3.6,Bolt
424,8,Cycle,Full-time,2023-09-14,4.7,Main
425,5,Cycle,Evening,2022-04-10,5.0,Bolt
426,10,Cycle,Morning,2023-02-13,4.1,All
427,5,Bike,Night,2023-05-24,4.5,Bolt
428,3,Bike,Night,2022-07-03,4.5,Toing
429,2,Cycle,Evening,2022-06-06,4.2,All
430,9,Scooter,Evening,2023-01-26,4.0,Toing
431,7,Scooter,Morning,2022-07-01,4.7,Toing
432,2,Cycle,Full-time,2022-05-10,4.9,Toing
433,8,Cycle,Night,2022-05-11,3.8,Main
434,10,Cycle,Morning,2023-03-31,4.7,Bolt
435,1,Scooter,Morning,2023-07-10,3.7,All
436,0,Cycle,Morning,2023-01-13,4.9,Bolt
437,6,Bike,Evening,2022-07-05,4.5,All
438,10,Bike,Night,2022-02-08,3.6,Bolt
439,10,Bike,Morning,2022-05-14,3.7,Toing
440,4,Scooter,Night,2022-06-29,4.0,All
441,3,Bike,Full-time,2023-01-27,4.4,Toing
442,6,Bike,Evening,2023-05-02,4.8,Main
443,4,Bike,Morning,2023-05-09,4.2,Main
444,10,Cycle,Night,2022-02-27,4.0,Bolt
445,2,Bike,Evening,2022-08-21,4.7,Toing
446,3,Bike,Evening,2023-02-24,3.6,Bolt
447,2,Bike,Full-time,2023-11-05,3.9,Bolt
448,10,Bike,Full-time,2023-03-16,3.6,Main
449,5,Scooter,Evening,2023-05-11,3.8,Main
450,9,Bike,Night,2022-04-17,3.8,Toing
451,10,Cycle,Evening,2022-01-04,5.0,Bolt
452,10,Cycle,Full-time,2022-06-07,3.8,Main
453,6,Scooter,Full-time,2022-02-08,3.9,Main
454,2,Bike,Full-time,2023-01-17,3.5,All
455,5,Scooter,Night,2022-12-16,3.6,Bolt
456,10,Bike,Evening,2023-07-24,4.2,Main
457,5,Cycle,Night,2022-04-28,4.1,Bolt
458,0,Bike,Night,2022-11-03,3.8,Toing
459,6,Bike,Morning,2023-04-12,4.0,Main
460,3,Bike,Full-time,2022-05-14,4.3,Toing
461,0,Scooter,Morning,2023-05-11,4.0,Toing
462,9,Scooter,Morning,2023-06-13,3.7,All
463,1,Cycle,Evening,2022-01-07,4.1,All
464,3,Bike,Night,2022-05-16,3.9,Toing
465,0,Cycle,Morning,2023-08-15,4.7,Bolt
466,3,Scooter,Evening,2023-08-05,4.9,Main
467,6,Cycle,Full-time,2023-02-07,3.9,Toing
468,8,Scooter,Morning,2022-01-06,4.0,Bolt
469,6,Bike,Full-time,2023-01-13,5.0,All
470,1,Scooter,Full-time,2023-01-27,4.6,Toing
471,10,Bike,Morning,2022-07-07,4.1,Toing
472,8,Scooter,Morning,2023-02-04,4.8,Bolt
473,10,Bike,Morning,2023-03-24,4.0,Main
474,9,Cycle,Evening,2022-11-19,3.9,Toing
475,6,Cycle,Night,2023-05-08,4.5,All
476,5,Scooter,Night,2023-05-02,4.2,Toing
477,8,Scooter,Full-time,2023-07-27,3.7,Toing
478,10,Scooter,Evening,2023-08-08,4.0,Main
479,5,Bike,Full-time,2022-08-07,4.7,Toing
480,7,Bike,Night,2023-03-22,4.0,Toing
481,9,Scooter,Evening,2023-01-10,4.7,Toing
482,8,Scooter,Evening,2023-01-30,4.7,Toing
483,10,Scooter,Morning,2022-01-10,4.5,All
484,7,Cycle,Evening,2022-01-15,4.0,Toing
485,9,Scooter,Evening,2022-04-05,4.3,Main
486,5,Cycle,Night,2022-07-10,4.6,Toing
487,0,Bike,Full-time,2022-09-19,5.0,All
488,0,Scooter,Morning,2022-04-06,4.6,Main
489,5,Scooter,Morning,2023-11-29,4.6,All
490,3,Bike,Morning,2022-11-23,4.8,Main
491,10,Cycle,Full-time,2023-02-07,4.2,Bolt
492,4,Scooter,Full-time,2023-12-01,3.9,All
493,7,Bike,Night,2023-06-07,3.9,Main
494,7,Cycle,Morning,2022-05-18,3.6,Bolt
495,8,Cycle,Full-time,2023-05-29,4.5,Main
496,3,Cycle,Morning,2023-08-07,4.0,Main
497,4,Bike,Morning,2023-03-20,4.4,Bolt
498,7,Cycle,Full-time,2022-06-06,3.9,Toing
499,5,Scooter,Morning,2022-06-29,3.7,Toing
500,10,Scooter,Full-time,2022-05-26,4.6,Bolt
501,3,Scooter,Night,2023-08-22,4.8,All
502,2,Scooter,Morning,2022-03-05,4.2,Main
503,5,Scooter,Morning,2022-05-22,3.6,Main
504,5,Cycle,Full-time,2023-08-18,3.6,Toing
505,1,Bike,Night,2023-02-15,4.0,Toing
506,9,Bike,Evening,2022-07-17,4.3,Bolt
507,4,Cycle,Evening,2022-04-03,3.7,Bolt
508,8,Cycle,Full-time,2023-08-11,3.8,Bolt
509,9,Cycle,Night,2022-06-15,4.0,All
510,8,Bike,Evening,2022-09-15,4.6,Main
511,3,Scooter,Morning,2023-12-02,4.4,Bolt
