Delivery_ID,Order_ID,Rider_ID,Pickup_Time,Arrival_Time_Restaurant,Delivered_Time,Delay_Minutes,Distance_Travelled,Weather_Condition,Traffic_Level
30,35,345,18:53:43,19:06:43,19:09:43,-3,2.22,Rainy,Jam
31,36,267,10:32:20,10:48:20,11:10:20,3,5.23,Sunny,High
32,37,359,07:19:41,07:33:41,07:23:41,-1,5.26,Cloudy,Low
33,38,477,09:50:16,10:00:16,10:36:16,13,9.62,Windy,Jam
34,39,78,21:49:44,21:58:44,22:30:44,12,4.34,Sunny,Low
35,40,13,11:03:26,11:08:26,11:46:26,14,5.84,Windy,Medium
36,41,749,19:46:17,20:00:17,20:23:17,2,6.13,Cloudy,Medium
37,42,30,20:38:54,20:47:54,20:44:54,3,5.65,Windy,High
38,43,738,06:41:31,06:47:31,07:07:31,2,3.19,Windy,Medium
39,44,485,14:44:33,14:46:33,14:50:33,5,5.82,Sunny,Low
40,45,197,08:26:47,08:29:47,08:35:47,12,1.41,Windy,Jam
41,46,715,18:22:40,18:25:40,18:51:40,-2,4.61,Cloudy,Medium
42,47,156,20:24:51,20:20:51,21:05:51,19,5.05,Rainy,High
43,48,313,19:41:39,19:52:39,20:30:39,16,3.16,Cloudy,High
44,49,3,13:35:28,13:50:28,14:07:28,-3,9.32,Cloudy,Low
45,50,436,18:12:34,18:32:34,18:21:34,4,8.42,Sunny,Jam
46,51,128,11:44:44,11:52:44,12:23:44,14,1.82,Sunny,High
47,52,689,11:59:17,12:13:17,12:50:17,15,9.72,Sunny,High
48,53,342,10:26:42,10:39:42,11:21:42,19,5.09,Cloudy,High
49,54,119,16:59:25,16:59:25,17:39:25,12,3.59,Rainy,High
50,55,125,07:06:40,07:16:40,07:36:40,-2,2.06,Windy,Jam
51,56,734,19:30:32,19:38:32,19:42:32,14,8.91,Rainy,Low
52,57,425,19:29:59,19:37:59,20:04:59,9,4.11,Cloudy,Jam
53,58,387,20:40:59,20:39:59,21:25:59,19,3.86,Rainy,Low
54,59,396,11:55:50,12:00:50,12:26:50,11,1.14,Windy,Jam
55,60,671,19:22:04,19:32:04,19:56:04,5,8.99,Sunny,Low
56,61,633,07:09:15,07:20:15,07:46:15,9,3.7,Windy,Jam
57,62,58,19:32:22,19:30:22,19:53:22,0,6.49,Cloudy,Low
58,63,510,12:10:37,12:13:37,12:48:37,20,3.59,Cloudy,Low
59,64,453,14:32:37,14:32:37,15:05:37,7,1.96,Rainy,Medium
60,65,589,11:25:44,11:37:44,12:03:44,14,8.5,Windy,Low
61,66,236,18:52:51,18:51:51,19:26:51,15,3.78,Rainy,Low
62,67,750,04:14:05,04:26:05,05:13:05,20,8.83,Sunny,Jam
63,68,78,02:20:48,02:24:48,02:35:48,16,3.36,Rainy,Jam
64,69,111,01:53:14,02:07:14,02:37:14,15,2.26,Sunny,Medium
65,70,505,08:21:06,08:27:06,09:03:06,13,2.39,Cloudy,Jam
66,71,502,22:45:26,22:54:26,23:16:26,-4,2.71,Cloudy,High
67,72,94,23:51:13,23:52:13,00:15:13,-3,5.99,Cloudy,High
68,74,54,11:13:47,11:32:47,11:50:47,9,9.51,Windy,Medium
69,75,470,19:53:01,19:51:01,20:43:01,17,1.66,Cloudy,High
70,76,68,13:23:17,13:18:17,13:56:17,15,7.92,Cloudy,High
71,77,441,00:38:56,00:48:56,00:37:56,-1,5.27,Cloudy,Low
72,79,159,18:55:30,18:58:30,19:33:30,13,4.86,Cloudy,Medium
73,80,624,14:11:42,14:17:42,14:46:42,13,1.63,Cloudy,Medium
74,81,94,10:02:33,09:57:33,10:11:33,14,1.47,Cloudy,Jam
75,82,51,20:57:05,20:57:05,21:38:05,19,4.11,Rainy,High
76,83,695,17:47:31,17:59:31,18:17:31,1,7.88,Sunny,High
77,84,8,14:44:47,14:50:47,15:09:47,-3,7.68,Windy,Jam
78,85,80,11:02:20,11:13:20,11:35:20,0,6.56,Windy,Medium
79,86,91,09:34:54,09:50:54,09:56:54,19,5.59,Rainy,Jam
80,87,199,21:10:49,21:12:49,21:33:49,0,7.84,Rainy,High
81,88,644,18:46:29,18:48:29,18:45:29,4,6.32,Sunny,Jam
82,89,318,09:43:28,09:46:28,10:15:28,14,4.46,Sunny,High
83,90,461,19:11:51,19:20:51,19:51:51,20,4.09,Rainy,High
84,91,662,15:26:02,15:30:02,15:29:02,8,7.11,Cloudy,Low
85,92,68,14:27:06,14:43:06,15:06:06,4,7.29,Cloudy,Medium
86,93,318,20:41:24,20:48:24,21:11:24,6,9.56,Cloudy,High
87,94,197,13:27:08,13:37:08,14:01:08,16,7.9,Sunny,Low
88,95,158,15:24:11,15:22:11,15:56:11,2,3.79,Sunny,Jam
89,96,199,01:28:43,01:39:43,01:34:43,1,2.25,Rainy,High
90,97,381,12:48:59,12:56:59,13:30:59,11,4.94,Sunny,Low
91,98,462,12:11:22,12:21:22,12:28:22,-5,1.89,Cloudy,High
92,99,150,11:13:02,11:20:02,11:21:02,3,2.35,Rainy,Medium
93,100,114,13:04:18,13:00:18,13:19:18,-2,5.5,Sunny,Low
94,101,589,12:22:45,12:33:45,12:58:45,0,1.77,Windy,Jam
95,103,596,21:52:48,22:03:48,22:16:48,19,9.83,Windy,Medium
96,104,139,09:10:45,09:15:45,09:58:45,12,1.33,Rainy,High
97,105,366,15:05:49,15:19:49,15:12:49,7,2.68,Sunny,High
98,106,532,22:29:51,22:30:51,22:43:51,16,5.01,Sunny,High
99,107,707,13:34:22,13:39:22,13:58:22,20,2.44,Cloudy,Low
100,108,36,10:20:04,10:22:04,10:58:04,16,4.34,Windy,Medium
101,109,588,19:18:33,19:30:33,19:56:33,18,5.66,Windy,High
102,110,269,18:59:16,19:10:16,19:20:16,-3,9.09,Sunny,Medium
103,111,699,14:04:20,14:04:20,14:49:20,20,3.02,Windy,Jam
104,112,243,08:56:31,09:08:31,09:46:31,11,4.68,Sunny,Jam
105,113,325,16:56:04,17:03:04,17:10:04,-2,3.74,Sunny,Low
106,114,355,00:45:57,00:43:57,01:10:57,-1,6.53,Windy,Low
107,116,633,18:45:01,18:53:01,19:26:01,4,7.2,Windy,Jam
108,117,496,12:42:13,12:48:13,13:17:13,7,4.33,Cloudy,High
109,118,248,04:34:07,04:51:07,05:25:07,14,9.66,Cloudy,High
110,119,592,15:54:20,16:05:20,16:26:20,-5,4.54,Rainy,Medium
111,120,221,12:42:22,12:54:22,13:26:22,4,8.62,Windy,Low
112,121,745,11:31:48,11:41:48,12:26:48,19,8.43,Sunny,Medium
113,122,132,19:17:25,19:17:25,19:12:25,-4,4.0,Sunny,High
114,123,153,17:45:57,17:48:57,18:30:57,13,8.45,Rainy,Low
115,124,487,10:00:01,10:09:01,10:36:01,14,9.7,Rainy,Medium
116,125,739,12:14:37,12:25:37,12:08:37,-5,4.77,Rainy,Low
117,126,421,12:42:49,12:44:49,13:28:49,16,4.39,Cloudy,Jam
118,127,546,11:31:34,11:45:34,12:17:34,17,7.34,Rainy,Medium
119,129,491,13:21:12,13:34:12,14:05:12,15,1.9,Cloudy,Jam
120,130,103,11:51:49,11:56:49,12:38:49,10,7.8,Sunny,Jam
121,131,662,09:16:58,09:24:58,09:41:58,7,2.68,Sunny,Medium
122,132,297,17:03:02,17:18:02,17:16:02,10,2.21,Cloudy,Low
123,133,198,15:01:07,15:05:07,15:51:07,20,7.07,Cloudy,Jam
124,135,338,05:34:37,05:42:37,05:27:37,-2,2.44,Rainy,Jam
125,136,707,11:14:40,11:30:40,11:31:40,14,7.32,Windy,Medium
126,137,254,09:52:48,10:04:48,10:12:48,-4,9.13,Cloudy,Jam
127,138,169,12:30:54,12:31:54,13:00:54,9,4.74,Sunny,Low
128,139,689,13:05:19,13:13:19,13:19:19,-3,5.25,Cloudy,Jam
129,140,139,16:01:41,16:02:41,16:41:41,18,8.51,Windy,Low
130,141,475,16:51:46,17:05:46,17:12:46,19,8.29,Cloudy,Jam
131,142,247,19:20:04,19:38:04,19:46:04,2,4.62,Windy,Jam
132,143,58,20:19:32,20:21:32,20:58:32,15,6.0,Windy,Low
133,144,659,22:48:24,22:56:24,23:21:24,2,7.37,Windy,Medium
134,145,60,09:42:26,09:51:26,09:54:26,9,1.83,Windy,High
135,146,53,11:28:24,11:29:24,11:39:24,12,2.88,Rainy,Medium
136,147,16,12:22:59,12:37:59,12:57:59,2,7.98,Windy,High
137,148,316,17:26:23,17:41:23,18:02:23,5,6.06,Sunny,Medium
138,149,17,05:22:35,05:27:35,05:59:35,3,5.4,Cloudy,Medium
139,150,472,18:22:46,18:22:46,18:32:46,12,9.62,Windy,High
140,151,77,17:02:42,17:08:42,17:41:42,17,2.97,Rainy,Jam
141,152,633,18:47:42,18:56:42,19:43:42,20,2.61,Sunny,Low
142,153,247,10:21:39,10:31:39,10:53:39,4,8.63,Windy,Medium
143,154,96,23:30:24,23:37:24,23:40:24,5,8.72,Rainy,High
144,155,236,12:18:57,12:32:57,13:02:57,13,8.39,Rainy,Jam
145,156,307,11:19:36,11:25:36,11:38:36,18,1.48,Rainy,Low
146,157,349,14:44:49,15:02:49,15:25:49,2,9.47,Sunny,High
147,158,88,18:57:39,19:09:39,19:48:39,17,2.39,Cloudy,Jam
148,159,110,19:15:00,19:27:00,19:32:00,-3,1.84,Windy,Jam
149,160,395,08:11:18,08:19:18,08:42:18,0,3.71,Sunny,Medium
150,161,172,19:38:17,19:42:17,20:26:17,14,5.12,Rainy,Medium
151,162,406,10:32:53,10:37:53,10:59:53,4,9.53,Sunny,High
152,163,182,06:35:20,06:35:20,07:10:20,3,4.54,Cloudy,Low
153,164,607,19:43:11,19:56:11,20:30:11,17,8.63,Rainy,Medium
154,165,512,08:16:40,08:24:40,08:25:40,7,9.31,Cloudy,Medium
155,166,557,19:17:50,19:24:50,19:46:50,13,7.1,Cloudy,High
156,167,441,13:18:00,13:29:00,13:52:00,9,5.17,Sunny,Jam
157,168,155,07:37:01,07:32:01,07:36:01,4,8.06,Windy,High
158,169,488,12:13:28,12:28:28,12:59:28,18,2.57,Sunny,Jam
159,170,437,09:40:14,09:46:14,10:16:14,17,3.51,Windy,High
160,171,592,11:17:51,11:16:51,11:32:51,16,5.75,Windy,Low
161,172,626,10:33:37,10:40:37,10:40:37,5,3.75,Cloudy,High
162,173,524,12:37:26,12:41:26,13:11:26,12,3.6,Sunny,Jam
163,174,635,20:15:55,20:25:55,20:56:55,8,4.74,Rainy,Jam
164,175,172,21:18:36,21:27:36,21:15:36,0,6.09,Windy,Medium
165,176,563,19:43:07,19:44:07,19:40:07,-2,6.88,Rainy,Medium
166,177,461,03:23:22,03:41:22,04:05:22,14,2.86,Windy,Jam
167,178,584,11:28:34,11:38:34,12:14:34,13,8.72,Sunny,Low
168,179,139,08:54:50,09:11:50,09:24:50,-1,8.46,Rainy,Low
169,180,502,15:17:36,15:28:36,15:25:36,6,5.39,Sunny,Low
170,181,749,13:36:40,13:39:40,14:17:40,3,3.55,Sunny,Low
171,182,580,01:09:31,01:08:31,01:47:31,17,8.94,Cloudy,Jam
172,183,281,00:13:41,00:18:41,00:43:41,7,7.53,Cloudy,High
173,185,711,19:16:30,19:19:30,19:49:30,7,7.78,Cloudy,Low
174,186,71,17:40:36,17:45:36,18:15:36,8,4.98,Rainy,High
175,187,144,11:59:07,12:08:07,12:22:07,2,6.4,Windy,Jam
176,188,675,15:09:19,15:16:19,15:08:19,2,2.01,Windy,Low
177,189,541,20:09:00,20:15:00,20:47:00,20,3.58,Windy,High
178,190,434,18:49:25,18:55:25,18:55:25,1,2.4,Cloudy,Jam
179,192,536,20:38:50,20:48:50,21:08:50,5,3.45,Windy,Medium
180,193,591,14:51:04,15:00:04,15:15:04,2,1.02,Sunny,Low
181,194,251,08:16:30,08:17:30,08:47:30,2,4.75,Sunny,Jam
182,195,80,23:43:23,23:52:23,23:43:23,-3,8.79,Rainy,High
183,196,336,12:10:35,12:20:35,12:25:35,10,7.98,Rainy,Medium
184,198,211,18:41:15,18:50:15,18:45:15,2,5.68,Windy,Medium
185,199,470,22:00:05,22:02:05,21:56:05,-1,3.35,Rainy,Medium
186,200,718,19:02:47,19:06:47,19:46:47,19,1.98,Windy,Medium
187,201,478,19:33:26,19:39:26,20:07:26,3,1.81,Rainy,Low
188,202,722,00:54:38,00:58:38,00:58:38,4,9.92,Sunny,Jam
189,203,464,15:45:47,15:52:47,16:11:47,-1,4.61,Sunny,Jam
190,204,661,20:11:37,20:17:37,20:35:37,20,9.15,Windy,Medium
191,205,126,20:07:29,20:23:29,20:12:29,0,5.01,Windy,Low
192,206,635,11:44:15,12:00:15,12:23:15,1,8.17,Cloudy,Low
193,207,392,13:57:45,14:09:45,14:35:45,3,3.87,Cloudy,Jam
194,208,60,12:03:30,12:15:30,12:41:30,19,2.97,Rainy,Jam
195,209,364,18:07:53,18:21:53,18:15:53,6,1.25,Sunny,High
196,210,577,19:22:53,19:27:53,19:33:53,11,3.99,Windy,Jam
197,211,349,11:50:11,12:08:11,11:52:11,-3,9.48,Windy,Jam
198,212,345,11:32:20,11:38:20,12:19:20,15,7.36,Cloudy,Jam
199,213,229,06:54:37,07:02:37,07:13:37,0,9.29,Sunny,Jam
200,214,655,18:43:06,18:59:06,19:25:06,17,7.56,Windy,Medium
201,215,272,13:20:15,13:38:15,13:56:15,0,5.44,Sunny,Low
202,216,104,15:08:30,15:17:30,15:23:30,-3,8.99,Windy,High
203,217,561,20:10:05,20:21:05,20:46:05,14,2.41,Sunny,Low
204,219,205,12:13:01,12:20:01,13:05:01,20,5.4,Windy,Jam
205,220,658,20:48:24,20:50:24,20:47:24,3,2.36,Sunny,Jam
206,221,88,16:49:22,17:07:22,17:08:22,16,5.27,Sunny,Jam
207,222,307,14:17:25,14:18:25,15:01:25,20,1.38,Windy,Medium
208,223,207,09:02:40,09:05:40,09:21:40,-3,4.58,Sunny,High
209,224,533,13:37:58,13:45:58,14:18:58,8,6.89,Sunny,Jam
210,226,234,19:13:19,19:29:19,19:19:19,1,4.66,Windy,High
211,227,58,18:38:50,18:54:50,19:02:50,0,8.5,Sunny,Jam
212,228,34,14:35:03,14:45:03,14:37:03,-2,3.18,Cloudy,Jam
213,230,663,00:23:43,00:32:43,00:54:43,10,6.83,Windy,High
214,231,230,18:31:38,18:41:38,18:30:38,4,8.42,Cloudy,High
215,232,8,18:46:42,18:43:42,19:12:42,1,7.89,Rainy,Medium
216,234,228,10:58:34,11:08:34,11:22:34,4,2.15,Windy,Low
217,235,697,09:02:21,09:17:21,09:48:21,13,8.66,Windy,Jam
218,236,650,13:43:37,13:51:37,14:18:37,5,6.12,Sunny,High
219,237,147,18:30:55,18:36:55,18:46:55,-5,2.88,Cloudy,Low
220,239,330,18:59:53,19:02:53,19:20:53,-2,6.3,Windy,Medium
221,240,47,08:30:18,08:38:18,08:55:18,0,9.26,Rainy,High
222,241,230,19:51:08,20:03:08,20:24:08,7,3.3,Cloudy,High
223,242,609,14:08:42,14:13:42,14:43:42,-2,5.27,Windy,Medium
224,243,309,17:39:42,17:43:42,18:10:42,11,2.06,Cloudy,Low
225,244,510,15:18:38,15:30:38,15:59:38,4,5.93,Cloudy,High
226,245,339,08:22:00,08:29:00,09:05:00,18,9.14,Sunny,Jam
227,246,304,18:26:29,18:30:29,18:34:29,8,1.85,Sunny,Low
228,247,10,07:03:08,07:13:08,07:22:08,18,8.33,Cloudy,Jam
229,248,410,15:40:17,15:47:17,16:25:17,13,6.12,Rainy,High
230,249,368,20:53:01,20:52:01,21:32:01,16,5.67,Windy,Medium
231,250,444,08:54:46,08:59:46,09:02:46,10,8.82,Rainy,Low
232,251,329,18:30:21,18:30:21,18:58:21,10,1.16,Cloudy,Jam
233,252,571,06:40:00,06:55:00,07:21:00,9,7.91,Rainy,Low
234,253,734,06:33:07,06:47:07,07:19:07,12,7.32,Windy,High
235,254,505,22:23:52,22:28:52,22:46:52,-2,1.42,Windy,Jam
236,255,462,15:38:42,15:51:42,15:47:42,8,5.35,Cloudy,High
237,256,709,12:50:11,12:53:11,13:17:11,3,4.09,Windy,High
238,257,142,08:37:38,08:47:38,09:23:38,16,7.39,Cloudy,Medium
239,258,516,06:43:44,06:47:44,07:21:44,8,5.7,Windy,Jam
240,259,55,21:48:03,22:03:03,22:12:03,-4,3.66,Sunny,Medium
241,260,368,01:03:28,01:13:28,01:06:28,4,1.42,Windy,Jam
242,261,702,11:30:35,11:34:35,12:06:35,2,7.34,Rainy,High
243,262,743,16:24:18,16:30:18,16:18:18,-4,6.01,Rainy,Low
244,263,262,12:07:21,12:18:21,12:49:21,10,5.95,Rainy,High
245,264,539,14:20:11,14:32:11,15:06:11,16,4.25,Sunny,Low
246,265,575,11:58:48,12:03:48,12:33:48,11,4.37,Sunny,Jam
247,266,499,15:11:18,15:16:18,15:24:18,12,6.64,Rainy,Jam
248,267,702,14:41:53,14:40:53,14:56:53,-5,3.99,Windy,Low
249,268,183,18:00:16,18:09:16,18:25:16,-5,2.06,Sunny,High
250,269,600,09:11:44,09:19:44,09:53:44,7,6.95,Rainy,High
251,271,313,10:26:47,10:38:47,11:04:47,16,8.67,Rainy,Jam
252,272,661,15:47:04,15:51:04,16:15:04,-1,3.11,Windy,Medium
253,274,284,20:08:23,20:13:23,20:18:23,15,8.58,Windy,High
254,275,552,15:19:16,15:29:16,16:13:16,19,9.16,Sunny,High
255,276,670,08:56:09,09:09:09,09:27:09,-1,5.59,Windy,High
256,277,11,11:54:15,11:59:15,12:34:15,18,9.45,Windy,Jam
257,278,238,14:10:16,14:23:16,14:52:16,7,5.09,Cloudy,Jam
258,279,106,18:57:33,19:04:33,19:42:33,15,6.29,Windy,High
259,280,530,12:27:24,12:33:24,12:57:24,11,4.96,Rainy,Medium
260,281,659,21:26:13,21:37:13,22:02:13,8,7.48,Cloudy,Medium
261,282,491,22:21:37,22:30:37,22:47:37,-1,1.35,Windy,Low
262,283,171,05:22:59,05:33:59,05:52:59,-3,6.46,Cloudy,High
263,284,175,07:26:53,07:26:53,08:03:53,9,1.62,Rainy,Low
264,285,112,17:10:12,17:26:12,17:52:12,20,7.77,Sunny,Jam
265,286,618,19:42:52,19:59:52,20:19:52,2,5.34,Sunny,Low
266,287,604,19:58:47,20:13:47,19:58:47,-3,8.89,Windy,Jam
267,288,6,12:53:47,13:03:47,13:43:47,15,3.35,Cloudy,High
268,289,627,12:22:43,12:35:43,12:58:43,6,5.35,Sunny,Jam
269,290,723,21:35:47,21:43:47,21:59:47,1,8.07,Cloudy,Medium
270,291,165,18:29:40,18:48:40,18:31:40,-3,4.34,Sunny,High
271,292,411,09:49:41,09:58:41,10:05:41,16,5.66,Windy,Low
272,293,630,21:21:43,21:29:43,22:07:43,19,7.03,Cloudy,Medium
273,295,516,14:27:21,14:35:21,15:15:21,13,5.34,Windy,Jam
274,296,649,21:02:14,21:12:14,21:30:14,2,4.59,Windy,Medium
275,297,78,23:42:59,23:54:59,23:46:59,1,2.8,Windy,Jam
276,299,636,11:29:31,11:40:31,11:41:31,11,5.3,Rainy,High
277,300,356,10:38:55,10:50:55,10:50:55,-5,4.41,Sunny,High
278,301,628,08:04:16,08:08:16,08:41:16,6,4.82,Rainy,Medium
279,302,374,21:09:25,21:16:25,21:29:25,-2,8.24,Windy,High
280,303,201,22:17:51,22:26:51,22:49:51,-2,1.54,Windy,Medium
281,304,645,13:20:28,13:21:28,13:32:28,16,2.79,Cloudy,Medium
282,305,552,13:17:49,13:24:49,13:52:49,-3,3.58,Sunny,Low
283,306,172,12:52:51,12:53:51,13:05:51,15,3.41,Sunny,High
284,307,456,13:57:55,14:01:55,14:17:55,18,1.72,Cloudy,Medium
285,308,98,13:19:59,13:21:59,13:45:59,2,3.56,Sunny,High
286,309,540,13:00:10,13:11:10,13:12:10,9,9.54,Rainy,Low
287,311,294,15:38:34,15:43:34,15:52:34,12,4.71,Sunny,Jam
288,312,256,14:20:45,14:30:45,14:52:45,4,5.79,Sunny,Low
289,313,71,00:24:08,00:29:08,00:57:08,1,2.37,Windy,Medium
290,314,191,17:20:18,17:31:18,17:57:18,6,8.12,Windy,Medium
291,315,58,21:32:49,21:41:49,22:02:49,7,2.1,Sunny,Low
292,316,395,14:01:28,14:02:28,14:00:28,1,7.13,Windy,Medium
293,317,163,18:48:46,19:01:46,19:22:46,6,8.77,Windy,Jam
294,318,242,20:47:27,20:57:27,21:12:27,-5,6.23,Windy,Jam
295,319,381,15:02:05,15:10:05,14:55:05,-4,2.39,Rainy,Low
296,320,129,10:45:14,10:53:14,11:18:14,17,7.52,Sunny,High
297,321,497,14:50:28,14:55:28,15:37:28,14,5.99,Cloudy,Low
298,322,461,11:24:52,11:32:52,12:18:52,18,1.17,Windy,Jam
299,323,329,15:52:04,15:59:04,16:34:04,8,1.99,Sunny,High
300,324,45,04:08:08,04:18:08,04:22:08,-4,8.53,Cloudy,Medium
301,325,639,08:49:37,09:05:37,08:51:37,-3,6.75,Sunny,Medium
302,326,378,11:59:45,12:08:45,12:26:45,-3,9.65,Sunny,Medium
303,327,545,11:34:12,11:42:12,12:25:12,18,6.75,Cloudy,Medium
304,328,720,19:50:27,19:54:27,20:28:27,6,6.7,Sunny,Low
305,329,624,22:26:36,22:36:36,22:21:36,-4,6.36,Cloudy,Medium
306,330,7,18:34:14,18:44:14,19:09:14,12,6.14,Windy,Jam
307,331,39,12:40:22,12:44:22,13:27:22,20,6.13,Sunny,Low
308,333,124,19:10:49,19:18:49,19:18:49,13,5.52,Cloudy,High
309,334,690,09:56:25,10:00:25,10:39:25,11,7.28,Sunny,High
310,335,573,11:21:31,11:33:31,11:38:31,16,1.81,Windy,Low
311,336,375,18:36:12,18:39:12,18:52:12,20,2.31,Windy,Jam
312,338,215,18:01:34,18:06:34,18:24:34,7,6.97,Sunny,Jam
313,340,324,03:40:55,03:49:55,04:19:55,11,5.41,Windy,Low
314,341,356,02:53:22,03:02:22,02:48:22,-5,9.54,Cloudy,High
315,342,403,18:50:08,19:07:08,19:27:08,8,2.37,Windy,High
316,343,460,12:48:08,12:45:08,13:16:08,8,9.78,Rainy,Medium
317,345,311,23:43:47,23:39:47,00:07:47,2,4.23,Rainy,Jam
318,346,138,20:46:54,20:51:54,20:50:54,8,1.14,Rainy,Jam
319,347,228,16:54:42,16:57:42,17:47:42,18,6.5,Sunny,High
320,348,534,12:17:28,12:22:28,12:28:28,12,7.89,Windy,Jam
321,349,299,12:35:25,12:49:25,13:27:25,15,7.5,Windy,Medium
322,350,403,20:36:20,20:42:20,21:18:20,17,1.82,Rainy,Low
323,351,88,10:39:45,10:43:45,10:48:45,5,6.94,Cloudy,Medium
324,352,184,12:56:45,13:03:45,13:43:45,15,9.09,Rainy,High
325,353,638,19:01:16,18:59:16,19:42:16,9,1.71,Sunny,High
326,354,561,09:23:39,09:39:39,09:26:39,-1,7.0,Sunny,Jam
327,355,340,20:11:05,20:08:05,20:28:05,20,9.7,Windy,Low
328,356,37,12:16:49,12:24:49,12:13:49,-2,3.47,Cloudy,Jam
329,357,713,01:27:39,01:30:39,02:00:39,8,3.85,Rainy,Jam
330,358,133,22:46:36,22:55:36,23:10:36,-5,5.18,Sunny,Medium
331,359,213,20:05:39,20:16:39,20:21:39,20,3.7,Windy,Jam
332,360,117,13:50:21,14:05:21,14:39:21,16,5.27,Cloudy,High
333,361,494,18:23:40,18:20:40,19:01:40,13,3.84,Rainy,High
334,362,592,22:49:21,23:07:21,23:31:21,13,2.69,Rainy,Medium
335,363,723,02:07:20,02:10:20,02:41:20,11,2.01,Sunny,Low
336,364,95,21:34:32,21:49:32,21:37:32,-1,1.88,Windy,Low
337,365,211,11:55:02,12:09:02,12:23:02,5,1.42,Rainy,Low
338,366,24,00:46:48,00:53:48,01:35:48,19,2.06,Rainy,High
339,367,118,13:15:39,13:22:39,13:52:39,13,1.64,Sunny,High
340,368,554,17:38:03,17:51:03,17:51:03,13,7.21,Rainy,High
341,369,320,16:26:52,16:31:52,16:52:52,-3,9.28,Windy,High
342,370,318,16:53:41,16:53:41,17:43:41,20,3.92,Rainy,Low
343,371,487,16:21:22,16:24:22,17:06:22,17,3.93,Rainy,Jam
344,372,546,17:36:25,17:40:25,17:44:25,5,7.25,Cloudy,Jam
345,373,581,03:05:21,03:08:21,03:33:21,-2,5.17,Sunny,Jam
346,374,181,18:34:25,18:34:25,19:06:25,5,6.94,Windy,Jam
347,375,595,14:05:48,14:18:48,14:42:48,1,8.9,Cloudy,Jam
348,376,696,17:24:58,17:37:58,18:12:58,12,1.01,Cloudy,Jam
349,377,113,22:02:18,22:17:18,22:30:18,1,8.59,Sunny,Low
350,378,158,22:23:55,22:32:55,23:00:55,-1,6.78,Sunny,High
351,379,713,18:52:59,18:55:59,19:15:59,0,1.07,Rainy,Medium
352,380,730,18:41:17,18:57:17,19:34:17,17,7.57,Cloudy,Low
353,382,525,09:12:30,09:08:30,09:54:30,18,3.34,Rainy,Low
354,383,587,12:18:42,12:14:42,12:33:42,20,2.19,Cloudy,Low
355,384,15,11:55:07,12:05:07,12:34:07,10,5.75,Rainy,Medium
356,385,149,09:50:59,10:01:59,10:27:59,13,4.11,Sunny,High
357,386,54,18:24:29,18:25:29,18:19:29,-1,4.91,Windy,Low
358,387,392,22:53:20,23:07:20,23:34:20,9,7.74,Cloudy,Jam
359,388,533,11:34:43,11:43:43,11:26:43,-5,5.73,Rainy,Jam
360,389,225,17:56:18,18:07:18,17:57:18,1,6.74,Sunny,Low
