Financial_ID,Order_ID,Restaurant_ID,Service_Type,Restaurant_Commission_Rate,Restaurant_Commission_Amount,Delivery_Fee_Customer,Platform_Fee_Customer,Packaging_Fee_Customer,Net_Revenue_Swiggy,Restaurant_Payout
236,236,644,Main App,0.18,594.58,28,14.99,20,657.57,2708.67
237,237,1828,Toing,0.12,106.97,20,12.0,0,138.97,784.44
238,238,656,Bolt,0.22999999999999998,271.81,70,14.99,15,371.8,909.99
239,239,204,Main App,0.18,327.86,39,14.99,20,401.85,1493.57
240,240,1359,Main App,0.25,752.88,42,14.99,20,829.87,2258.62
241,241,2364,Main App,0.25,111.17,43,14.99,20,122.46,333.49
242,242,51,Main App,0.18,102.95,48,14.99,20,100.15,469.0
243,243,437,Main App,0.18,100.15,46,14.99,20,181.14,456.22
244,244,3659,Main App,0.12,190.18,42,14.99,20,267.17,1394.63
245,245,178,Toing,0.12,65.3,2,12.0,0,79.3,478.83
246,246,2783,Bolt,0.22999999999999998,119.3,60,14.99,15,209.29,399.38
247,247,333,Bolt,0.22999999999999998,214.04,57,14.99,15,301.03,716.57
248,248,3206,Main App,0.12,250.4,26,14.99,20,311.39,1836.25
249,249,242,Main App,0.12,655.09,65,14.99,20,755.08,4804.03
250,250,2068,Bolt,0.22999999999999998,178.29,94,14.99,15,302.28,596.87
251,251,1599,Main App,0.18,1081.62,40,14.99,20,1156.61,4927.36
252,252,1163,Main App,0.18,622.61,23,14.99,20,680.6,2836.36
253,253,2953,Main App,0.18,72.17,60,14.99,20,167.16,328.78
254,254,2433,Main App,0.18,580.29,32,14.99,20,647.28,2643.53
255,255,1856,Bolt,0.22999999999999998,139.53,99,14.99,15,268.52,467.14
256,256,49,Main App,0.18,415.13,64,14.99,20,514.12,1891.15
257,257,963,Main App,0.18,580.56,38,14.99,20,653.55,2644.8
258,258,929,Toing,0.12,57.02,13,12.0,0,82.02,418.17
259,259,3997,Main App,0.18,119.55,0,14.99,20,154.54,544.6
260,260,3006,Bolt,0.22999999999999998,112.46,84,14.99,15,226.45,376.48
261,261,2561,Main App,0.18,79.53,0,14.99,20,114.52,362.29
262,262,1062,Bolt,0.22999999999999998,216.92,64,14.99,15,310.91,726.23
263,263,442,Main App,0.18,343.45,60,14.99,20,438.44,1564.62
264,264,3214,Main App,0.18,619.14,0,14.99,20,504.13,2820.53
265,265,3971,Main App,0.12,744.43,38,14.99,20,817.42,5459.18
266,266,1042,Bolt,0.22999999999999998,593.97,89,14.99,15,712.96,1988.51
267,267,1334,Main App,0.25,119.44,67,14.99,20,221.43,358.31
268,268,12,Main App,0.25,461.62,47,14.99,20,543.61,1384.86
269,269,1242,Main App,0.18,1160.89,79,14.99,20,1074.88,5288.49
270,270,3823,Main App,0.25,458.95,75,14.99,20,368.94,1376.85
271,271,1863,Main App,0.12,98.1,27,14.99,20,-39.91,719.43
272,272,1216,Toing,0.12,235.31,10,12.0,0,257.31,1725.63
273,273,610,Main App,0.25,962.6,40,14.99,20,1037.59,2887.79
274,274,999,Bolt,0.22999999999999998,768.28,51,14.99,15,849.27,2572.08
275,275,3087,Toing,0.12,56.45,0,12.0,0,68.45,413.99
276,276,1907,Main App,0.18,111.13,74,14.99,20,220.12,506.28
277,277,3180,Main App,0.18,192.13,75,14.99,20,302.12,875.27
278,278,1433,Main App,0.25,148.29,70,14.99,20,253.28,444.89
279,279,448,Main App,0.25,845.39,0,14.99,20,880.38,2536.18
280,280,931,Toing,0.12,90.36,15,12.0,0,117.36,662.64
281,281,3394,Main App,0.25,133.6,27,14.99,20,195.59,400.82
282,282,1146,Main App,0.12,104.3,56,14.99,20,95.29,764.85
283,283,1435,Main App,0.12,265.26,21,14.99,20,321.25,1945.22
284,284,1829,Main App,0.18,339.27,30,14.99,20,404.26,1545.58
285,285,499,Main App,0.25,214.59,58,14.99,20,307.58,643.79
286,286,1905,Main App,0.18,141.79,22,14.99,20,198.78,645.92
287,287,1246,Bolt,0.22999999999999998,227.09,98,14.99,15,355.08,760.25
288,288,1105,Main App,0.18,851.37,0,14.99,20,736.36,3878.46
289,289,3219,Main App,0.18,96.31,50,14.99,20,181.3,438.74
290,290,1524,Toing,0.12,164.94,5,12.0,0,181.94,1209.58
291,291,337,Bolt,0.22999999999999998,251.71,45,14.99,15,326.7,842.67
292,292,1237,Bolt,0.22999999999999998,188.43,94,14.99,15,312.42,630.82
293,293,1133,Main App,0.25,257.94,25,14.99,20,317.93,773.84
294,294,1488,Main App,0.18,327.26,49,14.99,20,411.25,1490.87
295,295,675,Main App,0.18,809.31,49,14.99,20,893.3,3686.84
296,296,390,Main App,0.18,109.81,20,14.99,20,164.8,500.22
297,297,1629,Bolt,0.22999999999999998,400.29,98,14.99,15,528.28,1340.12
298,298,2975,Bolt,0.22999999999999998,243.41,71,14.99,15,344.4,814.88
299,299,3020,Bolt,0.22999999999999998,255.11,43,14.99,15,328.1,854.05
300,300,3432,Main App,0.25,233.24,0,14.99,20,268.23,699.7
301,301,507,Main App,0.25,69.54,59,14.99,20,163.53,208.63
302,302,3490,Main App,0.18,82.44,63,14.99,20,180.43,375.58
303,303,3697,Main App,0.12,477.58,23,14.99,20,535.57,3502.24
304,304,141,Bolt,0.22999999999999998,504.58,62,14.99,15,596.57,1689.25
305,305,3713,Main App,0.18,66.39,67,14.99,20,168.38,302.45
306,306,3077,Bolt,0.22999999999999998,593.42,60,14.99,15,683.41,1986.68
307,307,2783,Bolt,0.22999999999999998,358.26,100,14.99,15,288.25,1199.41
308,308,3983,Main App,0.18,351.12,44,14.99,20,430.11,1599.52
309,309,1349,Bolt,0.22999999999999998,1029.4,75,14.99,15,1134.39,3446.26
310,310,1839,Main App,0.18,727.23,36,14.99,20,798.22,3312.93
311,311,3756,Bolt,0.22999999999999998,486.44,40,14.99,15,556.43,1628.51
312,312,801,Main App,0.18,643.93,71,14.99,20,749.92,2933.47
313,313,2656,Main App,0.12,233.04,59,14.99,20,227.03,1708.98
314,314,1467,Toing,0.12,134.08,9,12.0,0,55.08,983.25
315,315,2270,Main App,0.18,406.39,0,14.99,20,441.38,1851.32
316,316,314,Bolt,0.22999999999999998,153.51,82,14.99,15,265.5,513.93
317,317,1490,Main App,0.25,165.06,0,14.99,20,200.05,495.18
318,318,3302,Main App,0.25,132.18,45,14.99,20,212.17,396.53
319,319,617,Bolt,0.22999999999999998,348.68,43,14.99,15,421.67,1167.32
320,320,2666,Main App,0.18,197.74,32,14.99,20,264.73,900.83
321,321,1123,Main App,0.18,207.08,49,14.99,20,291.07,943.34
322,322,1080,Main App,0.12,138.63,52,14.99,20,225.62,1016.64
323,323,524,Toing,0.12,69.27,9,12.0,0,50.27,507.99
324,324,532,Main App,0.12,110.56,0,14.99,20,145.55,810.79
325,325,3472,Bolt,0.22999999999999998,445.01,71,14.99,15,546.0,1489.82
326,326,3926,Main App,0.25,236.2,73,14.99,20,344.19,708.61
327,327,2595,Main App,0.18,218.98,0,14.99,20,253.97,997.6
328,328,3527,Main App,0.25,1201.94,55,14.99,20,1291.93,3605.82
329,329,273,Bolt,0.22999999999999998,430.67,86,14.99,15,546.66,1441.79
330,330,14,Main App,0.25,203.76,64,14.99,20,302.75,611.29
331,331,3691,Main App,0.18,502.81,34,14.99,20,571.8,2290.59
332,332,790,Main App,0.18,479.93,44,14.99,20,558.92,2186.37
333,333,396,Bolt,0.22999999999999998,440.81,74,14.99,15,544.8,1475.76
334,334,2925,Main App,0.25,1128.81,0,14.99,20,1013.8,3386.44
335,335,103,Bolt,0.22999999999999998,188.84,60,14.99,15,178.83,632.2
336,336,1206,Bolt,0.22999999999999998,196.47,92,14.99,15,318.46,657.75
337,337,3715,Main App,0.18,189.26,80,14.99,20,104.25,862.19
338,338,427,Main App,0.18,312.9,29,14.99,20,376.89,1425.42
339,339,2981,Main App,0.18,536.52,0,14.99,20,571.51,2444.13
340,340,1154,Main App,0.18,512.07,22,14.99,20,569.06,2332.75
341,341,278,Bolt,0.22999999999999998,425.81,64,14.99,15,519.8,1425.55
342,342,341,Main App,0.18,74.53,75,14.99,20,184.52,339.55
343,343,1940,Toing,0.12,56.76,16,12.0,0,84.76,416.23
344,344,1197,Main App,0.25,68.78,0,14.99,20,103.77,206.33
345,345,1589,Main App,0.25,852.5,58,14.99,20,945.49,2557.49
346,346,2747,Bolt,0.22999999999999998,432.53,42,14.99,15,454.52,1448.05
347,347,107,Main App,0.18,964.73,0,14.99,20,849.72,4394.88
348,348,3917,Bolt,0.22999999999999998,33.12,42,14.99,15,105.11,110.88
349,349,3872,Toing,0.12,441.12,4,12.0,0,357.12,3234.86
350,350,1654,Main App,0.12,142.96,40,14.99,20,17.95,1048.34
351,351,2750,Bolt,0.22999999999999998,434.79,98,14.99,15,512.78,1455.61
352,352,2913,Main App,0.25,356.31,48,14.99,20,439.3,1068.94
353,353,447,Toing,0.12,143.98,18,12.0,0,173.98,1055.88
354,354,1879,Bolt,0.22999999999999998,231.1,42,14.99,15,203.09,773.69
355,355,1061,Bolt,0.22999999999999998,323.06,76,14.99,15,429.05,1081.55
356,356,2475,Bolt,0.22999999999999998,451.85,48,14.99,15,429.84,1512.7
357,357,978,Main App,0.18,167.12,79,14.99,20,281.11,761.35
358,358,2550,Main App,0.18,439.71,38,14.99,20,362.7,2003.14
359,359,77,Bolt,0.22999999999999998,242.16,56,14.99,15,228.15,810.72
360,360,1465,Main App,0.18,106.87,73,14.99,20,36.75,486.84
361,361,1323,Main App,0.12,328.03,53,14.99,20,266.02,2405.56
362,362,1428,Main App,0.18,676.64,54,14.99,20,765.63,3082.46
363,363,188,Main App,0.25,776.1,0,14.99,20,811.09,2328.29
364,364,3632,Bolt,0.22999999999999998,312.2,60,14.99,15,402.19,1045.2
365,365,2980,Toing,0.12,80.25,19,12.0,0,-88.75,588.47
366,366,749,Main App,0.18,210.3,37,14.99,20,182.29,958.04
367,367,3924,Main App,0.18,84.86,80,14.99,20,99.85,386.6
368,368,1290,Bolt,0.22999999999999998,402.89,78,14.99,15,510.88,1348.81
369,369,3503,Main App,0.18,251.32,49,14.99,20,335.31,1144.9
370,370,277,Main App,0.18,398.57,64,14.99,20,497.56,1815.71
371,371,1349,Main App,0.18,514.8,26,14.99,20,475.79,2345.21
